Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MUF;Capacidad_MW;Posicion;Plazo
Región de Valparaíso;NA;Titular1303;Nombre1303;Solar;2.784;161.1;250;4
Región de Antofagasta;NA;Titular45;Nombre45;Eólica-Solar;18;539;48;11
Región del Maule;NA;Titular2205;Nombre2205;Solar;0.204;8.5;63;5
Región de Antofagasta;NA;Titular203;Nombre203;Solar;0.36;9;20;3
Región de Antofagasta;NA;Titular210;Nombre210;Solar;2.64;112.58;38;2
Región de Antofagasta;NA;Titular149;Nombre149;Solar;1.44;140.049;30;4
Región del Biobío;NA;Titular1605;Nombre1605;Solar;0.192;8;224;2
Región del Maule;NA;Titular2285;Nombre2285;Solar;0.312;11.014;210;5
Región de Valparaíso;NA;Titular1485;Nombre1485;Solar;0.324;8.9832;75;5
Región de Tarapacá;NA;Titular1201;Nombre1201;Solar;0.288;9;47;3
Región del Biobío;NA;Titular1540;Nombre1540;Eólica;13.68;475.2;168;13
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1747;Nombre1747;Solar;0.24;11;78;4
Región del Maule;NA;Titular2212;Nombre2212;Solar;0.24;10.5;70;5
Región del Maule;NA;Titular2296;Nombre2296;Solar;1.584;29;245;3
Región del Maule;NA;Titular2353;Nombre2353;Solar;0.288;12;329;3
Región de Coquimbo;NA;Titular539;Nombre539;Solar;0.288;9;88;3
Región de Antofagasta;NA;Titular80;Nombre80;Solar;0.324;10.79;10;4
Región de Atacama;NA;Titular395;Nombre395;Solar;0.288;9;48;5
Región del Maule;NA;Titular2234;Nombre2234;Solar;0.264;11.04;252;2
Región del Maule;NA;Titular2100;Nombre2100;Solar;3.36;187.5;119;4
Región de Valparaíso;NA;Titular1247;Nombre1247;Solar;0.24;11.658;140;2
Región de Valparaíso;NA;Titular1319;Nombre1319;Solar;0.2448;10.8;200;4
Región del Maule;NA;Titular2367;Nombre2367;Solar;0.2904;10.78;161;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1798;Nombre1798;Solar;0.2832;11.75;132;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1961;Nombre1961;Solar;0.48;11;216;4
Región de Ñuble;NA;Titular1011;Nombre1011;Solar;0.24;9;672;5
Región de La Araucanía;NA;Titular714;Nombre714;Solar;0.264;10.68;315;2
Región de La Araucanía;NA;Titular694;Nombre694;Hidro;1.14;15;171;3
Región de Coquimbo;NA;Titular538;Nombre538;Solar;0.228;12.5;168;2
Región del Maule;NA;Titular2232;Nombre2232;Solar;4.8;90;329;2
Región de Los Lagos;NA;Titular783;Nombre783;Eólica;0.2808;9;160;8
Región de Atacama;NA;Titular454;Nombre454;Solar;1.08;34;30;2
Región de Coquimbo;NA;Titular519;Nombre519;Solar;0.2088;10.66;176;2
Región de Antofagasta;NA;Titular20;Nombre20;Eólica;5.04;192;6;11
Región de Atacama;NA;Titular431;Nombre431;Solar;8.928;458;57;2
Región de Valparaíso;NA;Titular1352;Nombre1352;Solar;0.288;10.44;200;4
Región de La Araucanía;NA;Titular693;Nombre693;Hidro;0.552;6.9;225;6
Región de Ñuble;NA;Titular1100;Nombre1100;Solar;9.6;173;576;3
Región del Biobío;NA;Titular1678;Nombre1678;Solar;0.24;10.7;312;3
Región de Coquimbo;NA;Titular535;Nombre535;Solar;0.288;12.5;56;3
Región de Coquimbo;NA;Titular552;Nombre552;Solar;0.288;13.24;124;2
Región de Atacama;NA;Titular453;Nombre453;Solar;0.288;12.5;108;2
Región de Antofagasta;NA;Titular260;Nombre260;Solar;43.2;690;36;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2014;Nombre2014;Solar;0.276;10.75;30;4
Región de Valparaíso;NA;Titular1228;Nombre1228;Solar;0.192;10.5;125;2
Región de Coquimbo;NA;Titular633;Nombre633;Solar;0.24;13;124;4
Región de Valparaíso;NA;Titular1316;Nombre1316;Solar;0.36;12.61;5;4
Región del Biobío;NA;Titular1592;Nombre1592;Hidro;0.2328;3.3;112;6
Región del Maule;NA;Titular2196;Nombre2196;Solar;0.288;12.19;315;3
Región de Coquimbo;NA;Titular528;Nombre528;Solar;0.144;6.24;36;3
Región de Valparaíso;NA;Titular1215;Nombre1215;Solar;0.192;9.38;40;2
Región del Biobío;NA;Titular1706;Nombre1706;Solar;0.192;8;160;3
Región de Los Ríos;NA;Titular880;Nombre880;Eólica;6.72;216;322;10
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1730;Nombre1730;Hidro;0.72;11.5;60;3
Región de Valparaíso;NA;Titular1357;Nombre1357;Solar;2.784;140.83;180;5
Región de Coquimbo;NA;Titular556;Nombre556;Solar;0.528;12.22;140;4
Región de Ñuble;NA;Titular955;Nombre955;Solar;0.288;12;352;2
Región del Biobío;NA;Titular1693;Nombre1693;Solar;0.24;10.16;232;4
Región de Antofagasta;NA;Titular48;Nombre48;Eólica-Solar;20.976;1294.71;82;11
Región de Valparaíso;NA;Titular1385;Nombre1385;Solar;2.04;45;20;3
Región de Antofagasta;NA;Titular106;Nombre106;Solar;96;1009;72;2
Región del Biobío;NA;Titular1581;Nombre1581;Eólica;0.6;14.4;8;14
Región del Maule;NA;Titular2225;Nombre2225;Solar;0.24;10.6;70;2
Región de Ñuble;NA;Titular1025;Nombre1025;Solar;0.36;10.85;736;3
Región de Coquimbo;NA;Titular632;Nombre632;Solar;0.2568;10.656;76;4
Región de Antofagasta;NA;Titular193;Nombre193;Solar;0.672;9;76;4
Región de Antofagasta;NA;Titular133;Nombre133;Solar;0.324;10.79;58;3
Región del Biobío;NA;Titular1563;Nombre1563;Eólica;3.696;72;392;11
Región del Maule;NA;Titular2287;Nombre2287;Solar;0.12;5.97;28;3
Región de La Araucanía;NA;Titular735;Nombre735;Solar;0.288;8.2;216;5
Región de Los Lagos;NA;Titular792;Nombre792;Eólica;0.408;16.2;300;13
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1895;Nombre1895;Solar;0.2256;10.5;144;5
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1980;Nombre1980;Solar;0.288;8.5;174;3
Región del Maule;NA;Titular2060;Nombre2060;Solar;1.2144;22;161;5
Región de Valparaíso;NA;Titular1269;Nombre1269;Solar;0.288;12;170;5
Región del Maule;NA;Titular2199;Nombre2199;Solar;0.156;6.5;287;4
Región de Ñuble;NA;Titular1039;Nombre1039;Solar;0.408;17.7;592;5
Región de Coquimbo;NA;Titular661;Nombre661;Solar;0.2016;10.66;92;2
Región de Los Ríos;NA;Titular923;Nombre923;Solar;0.36;11.45;126;4
Región del Maule;NA;Titular2299;Nombre2299;Solar;0.324;10.785;98;3
Región de Valparaíso;NA;Titular1371;Nombre1371;Solar;0.96;44.4;130;2
Región de La Araucanía;NA;Titular716;Nombre716;Solar;0.24;11.016;396;4
Región de Atacama;NA;Titular366;Nombre366;Solar;0.288;9;120;3
Región del Biobío;NA;Titular1533;Nombre1533;Eólica;5.376;107.5;8;15
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1729;Nombre1729;Eólica;9.6;364;30;10
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1835;Nombre1835;Solar;0.2568;10.52;24;5
Región de Antofagasta;NA;Titular96;Nombre96;Solar;5.4;251.37;76;5
Región de Coquimbo;NA;Titular493;Nombre493;Eólica;2.8608;79.5;92;14
Región de Coquimbo;NA;Titular563;Nombre563;Solar;0.264;9;48;2
Región de Atacama;NA;Titular374;Nombre374;Solar;0.288;9;33;5
Región del Maule;NA;Titular2311;Nombre2311;Solar;10.08;455;140;5
Región de Atacama;NA;Titular479;Nombre479;Solar;0.264;12.5;3;4
Región de Los Lagos;NA;Titular802;Nombre802;Eólica;7.8;304;490;16
Región de Antofagasta;NA;Titular183;Nombre183;Solar;0.288;11.3;52;2
Región de Valparaíso;NA;Titular1404;Nombre1404;Solar;0.2088;8.02;90;5
Región de Los Lagos;NA;Titular800;Nombre800;Eólica;0.408;16.8;270;10
Región del Maule;NA;Titular2350;Nombre2350;Solar;0.288;12;7;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1969;Nombre1969;Solar;0.1584;7.18;246;4
Región de Arica y Parinacota;NA;Titular284;Nombre284;Solar;0.24;12.08;630;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1996;Nombre1996;Solar;0.276;10.75;288;5
Región de Valparaíso;NA;Titular1391;Nombre1391;Solar;0.168;7;145;2
Región de Coquimbo;NA;Titular613;Nombre613;Solar;0.288;13.24;76;2
Región de Valparaíso;NA;Titular1249;Nombre1249;Solar;0.0744;2.36376;55;3
Región de Arica y Parinacota;NA;Titular271;Nombre271;Solar;0.288;10.8;750;5
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1867;Nombre1867;Solar;0.24;14.196;156;4
Región del Maule;NA;Titular2250;Nombre2250;Solar;0.24;11;287;5
Región de Valparaíso;NA;Titular1311;Nombre1311;Solar;6.96;240.8;145;5
Región del Maule;NA;Titular2061;Nombre2061;Solar;0.264;10.53;245;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2023;Nombre2023;Solar;0.1872;7.767;294;4
Región del Biobío;NA;Titular1708;Nombre1708;Solar;0.156;6.78;8;3
Región del Maule;NA;Titular2097;Nombre2097;Solar;0.288;9;203;2
Región del Biobío;NA;Titular1707;Nombre1707;Solar;0.288;12;224;3
Región de Antofagasta;NA;Titular184;Nombre184;Solar;4.08;188;64;2
Región de Atacama;NA;Titular455;Nombre455;Solar;1.56;46.33;69;4
Región de Los Lagos;NA;Titular828;Nombre828;Eólica;7.8;304;310;16
Región del Biobío;NA;Titular1703;Nombre1703;Solar;0.288;12;320;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1949;Nombre1949;Solar;0.288;11.75;240;5
Región de Ñuble;NA;Titular1051;Nombre1051;Solar;0.264;10.5;240;2
Región de Valparaíso;NA;Titular1403;Nombre1403;Solar;0.12;3.23;155;4
Región de Los Lagos;NA;Titular865;Nombre865;Solar;0.36;9;150;3
Región de Coquimbo;NA;Titular554;Nombre554;Solar;0.336;11.1;40;3
Región de Valparaíso;NA;Titular1396;Nombre1396;Solar;2.5296;100;35;5
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1978;Nombre1978;Solar;0.24;9.79;84;4
Región de Antofagasta;NA;Titular214;Nombre214;Solar;0.2448;9;20;2
Región del Maule;NA;Titular2105;Nombre2105;Solar;0.216;7.7;77;5
Región de Antofagasta;NA;Titular26;Nombre26;Eólica;6.168;280;42;15
Región de Coquimbo;NA;Titular517;Nombre517;Solar;3.8808;97.67;172;3
Región del Maule;NA;Titular2223;Nombre2223;Solar;4.8;90;133;4
Región de Los Ríos;NA;Titular912;Nombre912;Solar;0.504;21.27;602;3
Región de Valparaíso;NA;Titular1264;Nombre1264;Solar;0.2088;8.02;230;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2036;Nombre2036;Solar;0.216;6.47;216;4
Región de Antofagasta;NA;Titular218;Nombre218;Solar;0.312;14.8;68;5
Región de Valparaíso;NA;Titular1318;Nombre1318;Solar;0.0576;3.02;35;5
Región de Tarapacá;NA;Titular1181;Nombre1181;Solar;10.32;610;37;3
Región del Maule;NA;Titular2293;Nombre2293;Solar;0.216;10.416;315;4
Región de Ñuble;NA;Titular1114;Nombre1114;Solar;0.264;9.47;320;5
Región de Atacama;NA;Titular380;Nombre380;Solar;1.152;62.84;84;4
Región de Antofagasta;NA;Titular68;Nombre68;Solar;0.288;12.5;96;4
Región del Biobío;NA;Titular1591;Nombre1591;Hidro;0.408;5.8;184;3
Región de Tarapacá;NA;Titular1175;Nombre1175;Solar;0.2376;10.8;36;5
Región del Maule;NA;Titular2292;Nombre2292;Solar;0.2928;10.178;252;3
Región de Coquimbo;NA;Titular534;Nombre534;Solar;0.2568;10.656;196;2
Región de Antofagasta;NA;Titular51;Nombre51;Eólica-Solar;18;862.5;32;10
Región de Atacama;NA;Titular481;Nombre481;Solar;5.28;324.87;69;4
Región de Valparaíso;NA;Titular1349;Nombre1349;Solar;0.216;7.224;130;2
Región de Valparaíso;NA;Titular1309;Nombre1309;Solar;0.168;3.7;40;4
Región de Los Lagos;NA;Titular844;Nombre844;Hidro-Solar;0.1488;3.1;410;2
Región de Tarapacá;NA;Titular1146;Nombre1146;Solar;1.4472;14.4;30;3
Región de Los Ríos;NA;Titular891;Nombre891;Hidro;0.108;3;434;6
Región de Coquimbo;NA;Titular548;Nombre548;Solar;0.2448;10.9;120;4
Región del Maule;NA;Titular2364;Nombre2364;Solar;0.12;5.97;126;4
Región de Los Ríos;NA;Titular896;Nombre896;Hidro;0.036;1.5;504;4
Región de Ñuble;NA;Titular943;Nombre943;Eólica;7.2;248;352;13
Región de Valparaíso;NA;Titular1267;Nombre1267;Solar;0.96;44.4;245;4
Región de Antofagasta;NA;Titular220;Nombre220;Solar;0.288;13.33;6;2
Región de Atacama;NA;Titular444;Nombre444;Solar;1.152;62.84;6;2
Región del Maule;NA;Titular2279;Nombre2279;Solar;1.584;29;147;5
Región de Valparaíso;NA;Titular1464;Nombre1464;Solar;0.324;8.9832;115;3
Región del Maule;NA;Titular2341;Nombre2341;Solar;0.2568;10.66;7;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1781;Nombre1781;Solar;0.216;10.69;228;5
Región de Valparaíso;NA;Titular1291;Nombre1291;Solar;3.96;191.93;235;5
Región de Valparaíso;NA;Titular1374;Nombre1374;Solar;0.24;11.658;5;2
Región de Coquimbo;NA;Titular627;Nombre627;Solar;0.216;10.466;144;2
Región de Arica y Parinacota;NA;Titular302;Nombre302;Solar;1.632;9;570;4
Región de Valparaíso;NA;Titular1455;Nombre1455;Solar;0.1608;10.5;145;5
Región del Maule;NA;Titular2052;Nombre2052;Solar;0.2352;10.34;196;5
Región de Ñuble;NA;Titular1026;Nombre1026;Solar;0.168;7.113;624;2
Región de Coquimbo;NA;Titular657;Nombre657;Solar;0.288;12.5;136;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1768;Nombre1768;Solar;0.24;11;48;2
Región de Ñuble;NA;Titular1010;Nombre1010;Solar;0.1776;9.68;640;5
Región del Maule;NA;Titular2208;Nombre2208;Solar;4.392;120;224;4
Región de Atacama;NA;Titular321;Nombre321;Solar;4.8;144;141;5
Región del Maule;NA;Titular2249;Nombre2249;Solar;0.2448;10.77;35;4
Región de Atacama;NA;Titular305;Nombre305;Eólica;3.0816;180;108;14
Región del Biobío;NA;Titular1663;Nombre1663;Solar;0.216;11.016;160;2
Región del Biobío;NA;Titular1608;Nombre1608;Solar;0.24;10.53;376;4
Región de Valparaíso;NA;Titular1340;Nombre1340;Solar;2.04;127.7;205;4
Región del Biobío;NA;Titular1628;Nombre1628;Solar;0.168;7.016;112;3
Región del Biobío;NA;Titular1612;Nombre1612;Solar;0.216;9;136;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1788;Nombre1788;Solar;0.2016;8.5;84;3
Región del Maule;NA;Titular2325;Nombre2325;Solar;0.288;12;294;4
Región de Atacama;NA;Titular434;Nombre434;Solar;3.48;192.72;54;2
Región de Valparaíso;NA;Titular1350;Nombre1350;Solar;0.18;7.01568;55;5
Región de Valparaíso;NA;Titular1366;Nombre1366;Solar;0.24;3.23;115;4
Región de Tarapacá;NA;Titular1186;Nombre1186;Solar;1.4472;14.4;36;4
Región del Maule;NA;Titular2274;Nombre2274;Solar;0.2568;10.7;245;5
Región de Tarapacá;NA;Titular1137;Nombre1137;Solar;13.2;360;6;3
Región del Biobío;NA;Titular1607;Nombre1607;Solar;0.288;12;272;2
Región de Antofagasta;NA;Titular108;Nombre108;Solar;0.288;9;26;4
Región de Los Lagos;NA;Titular851;Nombre851;Solar;0.24;12.5;70;5
Región de Ñuble;NA;Titular978;Nombre978;Solar;0.168;6.089;544;4
Región de Valparaíso;NA;Titular1381;Nombre1381;Solar;0.24;11;20;5
Región de Los Ríos;NA;Titular869;Nombre869;Eólica;7.6608;216;308;13
Región del Maule;NA;Titular2038;Nombre2038;Eólica;8.352;316.8;308;12
Región de Coquimbo;NA;Titular593;Nombre593;Solar;0.12;4.24;68;2
Región del Maule;NA;Titular2160;Nombre2160;Solar;0.264;10.5;112;2
Región de Ñuble;NA;Titular962;Nombre962;Solar;0.264;10.5;48;3
Región de Valparaíso;NA;Titular1364;Nombre1364;Solar;0.36;7.4952;80;4
Región de Atacama;NA;Titular312;Nombre312;Solar;0.264;10.89;21;3
Región del Maule;NA;Titular2374;Nombre2374;Solar;0.216;10.584;294;3
Región de Coquimbo;NA;Titular653;Nombre653;Solar;1.4712;212.01;156;3
Región de Valparaíso;NA;Titular1482;Nombre1482;Solar;4.8;234;250;5
Región del Biobío;NA;Titular1652;Nombre1652;Solar;0.24;10.53;152;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1967;Nombre1967;Solar;0.24;14.196;30;3
Región de Coquimbo;NA;Titular664;Nombre664;Solar;0.24;8.77;160;4
Región de Valparaíso;NA;Titular1402;Nombre1402;Solar;1.44;66.18;235;4
Región de Coquimbo;NA;Titular546;Nombre546;Solar;0.144;6.24;140;3
Región de Tarapacá;NA;Titular1135;Nombre1135;Solar;0.324;10.79;34;5
Región de Tarapacá;NA;Titular1141;Nombre1141;Solar;23.76;581.46;32;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2011;Nombre2011;Solar;0.2688;10.12;240;5
Región del Maule;NA;Titular2067;Nombre2067;Solar;0.2568;10.66;189;5
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1850;Nombre1850;Solar;0.48;12.52;282;3
Región del Biobío;NA;Titular1574;Nombre1574;Eólica;3.744;95.2;136;13
Región del Biobío;NA;Titular1590;Nombre1590;Hidro;10.08;169.8;288;6
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1874;Nombre1874;Solar;0.1872;8;156;5
Región del Maule;NA;Titular2090;Nombre2090;Solar;0.288;13.3;161;5
Región de Tarapacá;NA;Titular1156;Nombre1156;Solar;2.64;131.58;17;3
Región de Ñuble;NA;Titular1074;Nombre1074;Solar;0.216;7.344;96;5
Región del Biobío;NA;Titular1598;Nombre1598;Hidro;0.2328;3.3;248;4
Región de La Araucanía;NA;Titular764;Nombre764;Solar;0.12;8.3;126;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1794;Nombre1794;Solar;0.48;10.52;240;3
Región de Tarapacá;NA;Titular1208;Nombre1208;Solar;0.432;12.08;20;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2002;Nombre2002;Solar;0.276;9;54;2
Región de Valparaíso;NA;Titular1467;Nombre1467;Solar;3.12;84;90;4
Región del Maule;NA;Titular2180;Nombre2180;Solar;0.24;10.5;49;3
Región de Coquimbo;NA;Titular508;Nombre508;Solar;0.6408;6.2;60;3
Región de Valparaíso;NA;Titular1254;Nombre1254;Solar;2.304;96;240;3
Región de Coquimbo;NA;Titular522;Nombre522;Solar;0.192;12.5;168;4
Región de Antofagasta;NA;Titular77;Nombre77;Solar;4.776;181;54;4
Región de Ñuble;NA;Titular975;Nombre975;Solar;0.264;11;736;4
Región de Atacama;NA;Titular333;Nombre333;Solar;0.228;12.5;72;5
Región de Antofagasta;NA;Titular21;Nombre21;Eólica;6.168;280;14;12
Región del Maule;NA;Titular2101;Nombre2101;Solar;0.312;10.8;147;3
Región del Maule;NA;Titular2086;Nombre2086;Solar;1.584;24;105;3
Región de Atacama;NA;Titular398;Nombre398;Solar;0.24;7.7;135;5
Región del Biobío;NA;Titular1602;Nombre1602;Hidro;0.2328;3.3;72;6
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1844;Nombre1844;Solar;0.96;63.07;66;2
Región de Tarapacá;NA;Titular1157;Nombre1157;Solar;7.836;362.76;26;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1884;Nombre1884;Solar;0.324;9.58;222;5
Región de Los Ríos;NA;Titular884;Nombre884;Eólica;2.64;51;392;13
Región de Tarapacá;NA;Titular1185;Nombre1185;Solar;15.24;381.8;23;3
Región de Valparaíso;NA;Titular1323;Nombre1323;Solar;3.84;120;245;3
Región de Atacama;NA;Titular349;Nombre349;Solar;0.288;9;120;2
Región de Ñuble;NA;Titular1092;Nombre1092;Solar;0.192;8;272;5
Región de Coquimbo;NA;Titular673;Nombre673;Solar;0.7056;7;156;2
Región de Tarapacá;NA;Titular1180;Nombre1180;Solar;0.288;13.5;15;2
Región del Maule;NA;Titular2359;Nombre2359;Solar;10.08;455;329;4
Región de Coquimbo;NA;Titular648;Nombre648;Solar;0.216;10.5;16;4
Región de Valparaíso;NA;Titular1426;Nombre1426;Solar;0.2568;10.66;235;3
Región de Tarapacá;NA;Titular1168;Nombre1168;Solar;66.9384;1032;25;3
Región del Maule;NA;Titular2085;Nombre2085;Solar;0.2544;9;329;4
Región del Maule;NA;Titular2182;Nombre2182;Solar;0.264;11.016;168;3
Región del Maule;NA;Titular2307;Nombre2307;Solar;0.288;9;224;4
Región del Biobío;NA;Titular1653;Nombre1653;Solar;0.24;10.87;72;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1841;Nombre1841;Solar;4.008;207.86;288;4
Región de Ñuble;NA;Titular1064;Nombre1064;Solar;0.2544;11.76;256;2
Región de Tarapacá;NA;Titular1176;Nombre1176;Solar;10.32;610;45;5
Región de Valparaíso;NA;Titular1459;Nombre1459;Solar;0.2544;10.66;30;2
Región de Atacama;NA;Titular435;Nombre435;Solar;0.216;10.87;126;5
Región de Antofagasta;NA;Titular91;Nombre91;Solar;18.912;788;76;4
Región de Antofagasta;NA;Titular197;Nombre197;Solar;0.4752;9;16;2
Región de Coquimbo;NA;Titular654;Nombre654;Solar;0.288;13.24;4;4
Región de Ñuble;NA;Titular1099;Nombre1099;Solar;0.264;11;224;5
Región del Maule;NA;Titular2194;Nombre2194;Solar;0.24;8.43;182;2
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1725;Nombre1725;Eólica;5.808;107;192;8
Región de Los Lagos;NA;Titular832;Nombre832;Eólica;0.384;21.6;310;16
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1789;Nombre1789;Solar;0.432;9;114;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1866;Nombre1866;Solar;0.24;15.45;102;3
Región de Atacama;NA;Titular393;Nombre393;Solar;0.2376;10.89;15;4
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1890;Nombre1890;Solar;4.008;207.86;6;4
Región del Biobío;NA;Titular1719;Nombre1719;Solar;0.216;11.016;80;3
Región del Biobío;NA;Titular1556;Nombre1556;Eólica;5.376;107.5;240;10
Región de Atacama;NA;Titular433;Nombre433;Solar;3.48;192.72;147;4
Región de Ñuble;NA;Titular982;Nombre982;Solar;2.232;93.41;208;3
Región del Maule;NA;Titular2327;Nombre2327;Solar;1.584;29;329;4
Región del Maule;NA;Titular2096;Nombre2096;Solar;1.584;24;245;2
Región del Maule;NA;Titular2087;Nombre2087;Solar;0.2592;10.78;112;3
Región de Los Lagos;NA;Titular772;Nombre772;Eólica;4.8;132;200;10
Región de Ñuble;NA;Titular936;Nombre936;Eólica;4.128;115.2;160;15
Región de Ñuble;NA;Titular1046;Nombre1046;Solar;0.264;10.52;624;4
Región de Coquimbo;NA;Titular544;Nombre544;Solar;0.2016;10.66;124;5
Región de Valparaíso;NA;Titular1421;Nombre1421;Solar;0.24;12.16;95;4
Región de Valparaíso;NA;Titular1312;Nombre1312;Solar;0.96;9;175;3
Región del Maule;NA;Titular2092;Nombre2092;Solar;0.216;10.67;98;3
Región de Antofagasta;NA;Titular71;Nombre71;Solar;0.288;10.75;72;3
Región de Coquimbo;NA;Titular523;Nombre523;Solar;3.6;94.5;96;2
Región del Biobío;NA;Titular1701;Nombre1701;Solar;0.24;10.16;192;3
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular1979;Nombre1979;Solar;0.24;11;54;5
Región de La Araucanía;NA;Titular696;Nombre696;Hidro;0.216;3.7;342;4
Región de Coquimbo;NA;Titular561;Nombre561;Solar;0.24;13;152;4
Región del Maule;NA;Titular2172;Nombre2172;Solar;0.792;48.2;7;2
Región del Maule;NA;Titular2372;Nombre2372;Solar;2.4;100;91;2
Región de La Araucanía;NA;Titular687;Nombre687;Eólica;2.808;58.65;18;13
Región de Coquimbo;NA;Titular533;Nombre533;Solar;0.288;9;44;5
Región de La Araucanía;NA;Titular684;Nombre684;Eólica;1.56;36.3;225;14
Región del Libertador Gral. Bernardo O’Higgins;NA;Titular2000;Nombre2000;Solar;0.432;9;258;3
