Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MMUS;Capacidad_MW;Posicion
Región del Biobío;Los Angeles;Parque Solar Albor SpA;Parque Solar Don Martín II (Arbor Solar);Solar;6.5;6.78;9
Región del Biobío;Mulchén;CENTRAL EL ATAJO SPA;Minicentral Hidroelectrica El Portal;Hidro;3.2;1.2;9
Región de Coquimbo;Los Vilos;Parsosy Ra SpA;Proyecto Solar Los Vilos PMG;Solar;9;11.25;15
Región Metropolitana de Santiago;Buin-Isla de Maipo;Energy Lancuyen SpA;Planta Solar La Puntilla;Solar;10;11.0;1
Región del Libertador Gral. Bernardo O’Higgins;Machalí;Solar TI Treinta y Seis SpA;Parque Fotovoltaico Don Simón;Solar;12;7.61;6
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;ENERGÉTICA SOLAR MARCHIHUE SPA;Energética Solar Marchihue;Solar;18;9.22;6
Región de Tarapacá;Pozo Almonte;RAMADITAS SOLAR SPA;Parque Fotovoltaico Ramaditas;Solar;550;360.0;8
Región de Valparaíso;San Esteban;Solek Chile Services SpA;Parque Fotovoltaico Andrómeda 2;Solar;5;3.23;2
Región Metropolitana de Santiago;Til-Til;Solek Chile Services SpA;Parque Fotovoltaico Alagua;Solar;10;10.66;1
Región del Maule;San Javier;PV Power Chile SpA;Parque Fotovoltaico Orilla del Maule;Solar;7;7.0;13
Región del Libertador Gral. Bernardo O’Higgins;Requinoa;Energy Lancuyen SpA;Planta Solar El Membrillar;Solar;10;11.0;6
Región de Antofagasta;Taltal;Parque Eólico Antofagasta SPA;Parque Eólico Antofagasta;Eólica;684;805.2;7
Región de La Araucanía;Renaico;Acciona Energía Chile SpA;Parque Eólico El Alba;Eólica;55;43.2;14
Región Metropolitana de Santiago;Pudahuel;Espinos S.A.;Parque Solar Fotovoltaico Espejos;Solar;8;10.0;1
Región de Atacama;Copiapó;INVERSIONES MINAS SOLAR SPA;Parque Minas Solar;Solar;48;62.84;16
Región de Tarapacá;Pica-Pozo Almonte;GR Fuinque SpA;Planta Fotovoltaica Tupa 9MW;Solar;9.9;10.8;8
Región de Tarapacá;Alto Hospicio;PFV PLATERO SPA;Parque Fotovoltaico Platero;Solar;60.3;14.4;8
Región del Biobío;Los Angeles;Asociación de Canalistas del Laja;Minicentrales de Pasada José Luis Moraga;Hidro;17;5.8;9
Región del Biobío;Los Angeles;Energía Eólica San Matias SpA;Parque Eólico San Matías;Eólica;224;107.5;9
Región de Los Ríos;La Unión;Ciprés de la Costa Solar SpA;Parque Solar Fotovoltaico Ciprés de la Costa;Solar;10;10.33;4
Región de Los Lagos;Purranque;Energía Renovable Oro SpA;Parque Fotovoltaico Purranque;Solar;15;9.5;12
Región de Tarapacá;Pozo Almonte;Arenisca Solar SpA;Proyecto Fotovoltaico Arenisca;Solar;3;4.61;8
Región del Libertador Gral. Bernardo O’Higgins;Litueche;PLAN 8 Energía Infinita Ltda;Parque Eólico Litueche;Eólica;150;138.0;6
Región de Ñuble;Quirihue;Parque Solar Alcaldesa SpA;Parque Fotovoltaico Alcaldesa;Solar;7;7.113;3
Región Metropolitana de Santiago;Paine;CVE Proyecto Once SpA.;Aquiluz Solar;Solar;12.2;12.16;1
Región de Valparaíso;Limache-Villa Alemana;PER POMERAPE SPA;Parque Fotovoltaico Santa Ana del Pangal;Solar;15;13.3;2
Región del Maule;Linares;Granada SpA;Proyecto Solar fotovoltaico Granada;Solar;12.2;10.178;13
Región de Antofagasta;Antofagasta;Fotovoltaica del Desierto SpA;Fotovoltaica del Desierto;Solar;14;9.0;7
Región de Tarapacá;Pozo Almonte;Tamarugal Solar SpA.;Parque Fotovoltaico Aurora Solar;Solar;250;205.71;8
Región de Antofagasta;Calama;Parina Solar SpA;Parque Fotovoltaico Parina Solar;Solar;248;248.0;7
Región de Valparaíso;San Antonio;PSF Guanay SpA;Proyecto Solar Fotovoltaico Guanay;Solar;160;123.0;2
Región Metropolitana de Santiago;María Pinto;La Rosa de Sharon SpA;PARQUE FOTOVOLTAICO LA ROSA DE SHARON;Solar;7.5;6.0;1
Región del Biobío;Cabrero;Impulso Solar NCI SpA;Parque Fotovoltaico Solar Laja;Solar;10;10.87;9
Región Metropolitana de Santiago;San Pedro;Solar TI Seis SpA.;Parque Solar Avilés;Solar;12;8.4;1
Región de Arica y Parinacota;Arica;Taruca Solar SpA;PROYECTO FOTOVOLTAICO TARUCA;Solar;12;13.8;5
Región de Coquimbo;Ovalle;Parque Solar Ovalle Norte SpA;Parque Fotovoltaico Ovalle Norte;Solar;10.7;10.656;15
Región Metropolitana de Santiago;Maipú;Grupo energy Lancuyen spa;Planta Solar La Farfana;Solar;10;11.0;1
Región de Coquimbo;Ovalle;EÓLICA DE LA COSTA SpA;Ampliación Parque Eólico Camarico (nuevo Parque Eólico Ecos del Mar);Eólica;119.2;79.5;15
Región del Libertador Gral. Bernardo O’Higgins;Rengo;CVE PROYECTO TREINTA Y SIETE SPA;Diana Solar;Solar;7.6;7.89;6
Región de Coquimbo;Combarbalá;Blue Solar Cuatro SpA;Parque Solar Las Piedras;Solar;9.4;10.5;15
Región de Los Lagos;Calbuco;Energías Calbuco S.A.;Parque Eólico Calbuco;Eólica;76.5;42.5;12
Región del Biobío;Cabrero;SUVAN SOLAR SPA;Parque Fotovoltaico Moya;Solar;12;9.0;9
Región del Biobío;Mulchén;Colbún S.A.;Parque Eólico Junquillos;Eólica;570;475.2;9
Región de Antofagasta;María Elena;Estepa Solar SpA;Parque Fotovoltaico Estepa Solar;Solar;350;492.0;7
Región del Maule;Curicó;PFV EL CHERCÁN SPA;Parque Fotovoltaico El Chercán;Solar;12;13.3;13
Región Metropolitana de Santiago;San Pedro;CVE Proyecto Treinta SpA;Parque Fotovoltaico Chagual;Solar;11.2;11.7;1
Región de Antofagasta;Taltal;Colbún S.A.;Parque Eólico Horizonte;Eólica;700;980.0;7
Región de Antofagasta;Taltal;Parque Eólico Nolana SpA;Parque Eólico Nolana;Eólica;257;280.0;7
Región Metropolitana de Santiago;El Monte;Grupo energy Lancuyen spa;Planta Solar Hacienda El Monte;Solar;10;11.0;1
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;Colbún S.A.;El Encanto, Parque Fotovoltaico, Almacenamiento y Transporte de Energía;Solar;500;249.7;6
Región de Coquimbo;Los Vilos;PS Guangualí SpA.;PSFV Guangualí;Solar;10;13.0;15
Región Metropolitana de Santiago;Padre Hurtado;QUELTEHUE SPA;Parque Fotovoltaico Queltehue;Solar;12;9.0;1
Región del Maule;Linares;EL NARANJAL SPA;Nueva Central Solar Fotovoltaica Pachira;Solar;10.8;10.78;13
Región de Antofagasta;Taltal;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Chungungo;Solar;13.5;10.79;7
Región de Antofagasta;Mejillones;Volta Hidrógeno SpA;Proyecto Volta - Planta de Hidrógeno y Amoníaco Verde;Solar;2500;600.0;7
Región de Antofagasta;Taltal;Energía Eólica Pampas SpA;Parque Híbrido Pampas;Eólica-Solar;800;392.0;7
Región del Libertador Gral. Bernardo O’Higgins;Rancagua-Olivar;PER CERRO MOHAI SPA;Parque Solar Fotovoltaico Vulcano;Solar;18;9.0;6
Región de Valparaíso;Llay Llay;Solek Chile Services SpA;Parque Fotovoltaico El Roble;Solar;7;7.0;2
Región de Coquimbo;Ovalle;CVE Proyecto Quince SpA;Orquídea Solar;Solar;5;4.24;15
Región de Los Lagos;Osorno;ENERGIA RENOVABLE CIRCON SPA;PARQUE FOTOVOLTAICO EL ALMUD;Solar;14;7.11;12
Región de Los Ríos;La Unión;BLUE SOLAR DIECISEIS SPA;Parque Solar Mautz;Solar;21;21.27;4
Región de La Araucanía;Renaico;PE VERGARA SPA;Parque Eólico Vergara;Eólica;65;39.6;14
Región Metropolitana de Santiago;Peñaflor;Solek Chile Holding SpA;Parque Fotovoltaico Santa Rebeca;Solar;10;10.66;1
Región de Los Ríos;Paillaco;ENERGIA RENOVABLE AGATA SPA;Parque Fotovoltaico Pichirropulli;Solar;15;10.54;4
Región de Coquimbo;Ovalle;CAMARICO SOLAR SpA;CAMARICO SOLAR;Solar;8.4;10.66;15
Región Metropolitana de Santiago;Isla de Maipo;Aconcagua Energy SpA;Parque Fotovoltaico Pepa del Verano;Solar;25.8;21.52;1
Región del Libertador Gral. Bernardo O’Higgins;Coltauco;Blue Solar Tres SpA;Parque Solar Coltauco;Solar;9.4;10.5;6
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;Portezuelo SpA;Parque Solar Portezuelo;Solar;146;121.0;6
Región de Atacama;Vallenar;ENERGÉTICA SOLAR PERALES SPA;Planta Fotovoltaica Perales;Solar;18;8.6;16
Región de Los Lagos;Frutillar;OPDE CHILE SpA;Parque Eólico Vientos del Lago;Eólica;200;132.0;12
Región de Coquimbo;La Serena;PFV EL RAYADOR SPA;PARQUE FOTOVOLTAICO EL RAYADOR;Solar;12;12.0;15
Región de Los Lagos;Purranque;Windkraft Purranque 2 SPA;Instalación de 3 Aerogeneradores Purranque 2;Eólica;17;20.4;12
Región de Coquimbo;Ovalle;Guanaco Solar SpA;Parque Solar Fotovoltaico PMGD 3091;Solar;10.2;10.9;15
Región de Ñuble;Bulnes;Parque Solar Meco Chillan SpA;Proyecto Parque Solar Meco Chillán;Solar;7;7.1;3
Región de Valparaíso;Nogales;Sol del Melón SG SpA;Central Fotovoltaica Sol del Melón;Solar;35;9.0;2
Región de Ñuble;Chillán;Magdalena Solar SpA;Parque Solar Fotovoltaico La Victoria;Solar;9;10.5;3
Región de Valparaíso;San Esteban;Blue Solar Ocho SpA;Parque Solar El Triunfo;Solar;9.4;10.5;2
Región del Maule;San Javier;CVE Proyecto Treinta y Dos SpA;Parque Fotovoltaico Rayen Solar;Solar;9;8.208;13
Región de Atacama;Freirina;Cristaria Solar SpA;Parque Fotovoltaico Cristaria Solar;Solar;335;217.6;16
Región de Antofagasta;Antofagasta;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Bonasort 9 MW;Solar;13.5;10.82;7
Región del Biobío;Los Angeles;Solek Chile Services SpA;Parque Fotovoltaico Miño;Solar;10;10.61;9
Región de Valparaíso;Llay Llay;Porvenir Solar Spa;Porvenir Solar;Solar;75;50.24;2
Región de Valparaíso;La Ligua-Papudo;LUZ DE SOL 5 SPA;Casas Viejas Solar;Solar;116;161.1;2
Región de Valparaíso;Panquehue;CVE Proyecto Sesenta SpA;Parque Fotovoltaico Leonera Solar;Solar;11;7.4;2
Región de Valparaíso;Valparaíso;Solarig Development Chile SpA;Parque Solar Comunidad;Solar;45;24.0;2
Región Metropolitana de Santiago;Melipilla;ORION POWER S.A.;Parque Solar Fotovoltaico Puangue;Solar;5.6;5.45;1
Región Metropolitana de Santiago;San Pedro;Membrillo Solar SpA;Parque Fotovoltaico El Membrillo;Solar;7.1;7.12;1
Región de Coquimbo;Ovalle;Granate SpA;Parque Fotovoltaico Granate;Solar;12;9.0;15
Región del Maule;Longaví;PV Power Chile SpA;Parque Fotovoltaico Villa Longaví PMG;Solar;10.7;10.52;13
Región Metropolitana de Santiago;Colina;CVE Proyecto Treinta y Ocho SpA;Parque Fotovoltaico Arnaud Solar;Solar;11.4;11.82;1
Región Metropolitana de Santiago;Buin;ORION POWER S.A.;Parque Solar Fotovoltaico Rucapaine;Solar;12;12.1;1
Región de Antofagasta;María Elena;Planta Solar La Pampina SpA;Planta Solar La Pampina;Solar;140;200.0;7
Región del Maule;Villa Alegre;Parque Solar Villa Alegre;Parque Solar Villa Alegre;Solar;8.4;9.9;13
Región del Maule;Molina;GR RAULI SpA;Planta Fotovoltaica Molina;Solar;13.5;9.0;13
Región del Maule;Hualañé;Itahue Energy SPA;Sol de Caone;Solar;420;455.0;13
Región del Maule;San Clemente;MCV Solar 36 SpA;Parque Fotovoltaico Chequén;Solar;9;11.016;13
Región de Los Lagos;Ancud;Coloane SpA;PMGD Coloane;Eólica;16;21.6;12
Región Metropolitana de Santiago;Pudahuel;Grupo energy Lancuyen spa;Planta Solar Aguas Claras;Solar;10;9.98;1
Región de Coquimbo;Illapel;UKA CHILE & CIA;Parque Fotovoltaico Llanos de Rungue;Solar;250;316.21;15
Región de Valparaíso;Puchuncaví;Solar Ray 1 SpA;Solar Ray 1;Solar;40;55.0;2
Región Metropolitana de Santiago;Colina;CVE proyecto Dieciséis SpA;Dominga Solar;Solar;7.5;7.463;1
Región de Ñuble;Chillán;PFV EL CACHUDITO SPA;Parque Fotovoltaico El Cachudito;Solar;66;24.0;3
Región de Los Ríos;Los Lagos-Paillaco-Valdivia;AR Caman SpA;Parque Eólico Caman;Eólica;590;302.4;4
Región del Maule;Curicó;Nain Solar SpA;Parque Solar Fotovoltaico Drux II;Solar;9;10.62;13
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;Ollague de Verano SpA;Parque Fotovoltaico Observatorio del Verano;Solar;90;112.0;6
Región de La Araucanía;Angol;Hidroenersur SpA;Parque Fotovoltaico Solango;Solar;12;8.2;14
Región del Maule;San Javier;COX RIO MAULE SPA;Parque Solar Fotovoltaico PMGD CE Rio Maule;Solar;10;10.8;13
Región del Libertador Gral. Bernardo O’Higgins;Requinoa;ENERGÉTICA SOLAR REQUÍNOA SPA;Energética Solar Requínoa;Solar;18;9.0;6
Región del Biobío;Negrete;Parque Solar Omega SpA;Parque Fotovoltaico Omega;Solar;5;4.9;9
Región del Biobío;Los Angeles;El Olivar Solar SpA;El Olivar Solar;Solar;12;12.0;9
Región del Maule;Pelarco;MVC SOLAR 19 SpA;Parque Fotovoltaico Los Quillayes;Solar;11;11.04;13
Región Metropolitana de Santiago;Lampa;Grupo energy Lancuyen spa;Planta Solar Santa Teresita;Solar;10;11.0;1
Región del Libertador Gral. Bernardo O’Higgins;Machalí;COX ENERGY PMGD SPA;Parque Solar El Guindal;Solar;10;9.79;6
Región de Ñuble;Bulnes;Per Llullaillaco SPA;PSF Cuarto Menguante;Solar;17;17.7;3
Región de Coquimbo;Los Vilos;Generadora Sungate SpA;Planta Solar Fotovoltaica Pichidangui;Solar;8;13.23;15
Región del Maule;Curicó;Tarwi SpA;Parque Solar Fotovoltaico Tarwi;Solar;12;9.0;13
Región Metropolitana de Santiago;San Pedro;PARQUE FOTOVOLTAICO ANDINO LAS PATAGUAS SPA;Parque Fotovoltaico Andino Las Pataguas;Solar;150;152.61;1
Región Metropolitana de Santiago;Talagante;Pomerape SpA;Parque Fotovoltaico Patricia del Verano;Solar;10.2;10.81;1
Región de Ñuble;Yungay;Parque Solar Lucero SpA;Parque Solar Lucero;Solar;9;10.03;3
Región del Maule;Cauquenes;PSF LEOBIO SPA;PSF Leo Bio;Solar;7.2;8.96;13
Región de Coquimbo;Coquimbo;Enlasa Energia S.A.;Peñon Solar II;Solar;12;11.78;15
Región de Atacama;Caldera;GRUPO ESTELAR SpA;Parque Fotovoltaico Fénix;Solar;12;9.0;16
Región Metropolitana de Santiago;Isla de Maipo;Guallatiri SpA;Parque Fotovoltaico Liebre del Verano;Solar;10.2;10.8;1
Región Metropolitana de Santiago;San Bernardo;Lonquen Rentas Limitada;Parque Fotovoltaico El Camino;Solar;8.5;10.8;1
Región de Valparaíso;Rinconada;Auco Sunlight SpA;Parque Fotovoltaico Auco Sunlight;Solar;10;12.16;2
Región de Tarapacá;Pozo Almonte;Parque Fotovoltaico Pita Solar SpA;Parque fotovoltaico y línea de transmisión Pita Solar;Solar;320;184.8;8
Región Metropolitana de Santiago;Peñaflor;El Condor Solar SpA;Proyecto Fotovoltaico Malloco;Solar;12;10.4;1
Región del Maule;Romeral;GR PALMA SpA;Planta Fotovoltaica Rauquén;Solar;8.8;10.83;13
Región del Maule;Curicó;Miguel Solar SpA;Planta fotovoltaica Chiloé;Solar;9;10.6;13
Región Metropolitana de Santiago;Maipú;CVE Proyecto Treinta y Dos SpA.;Parque Fotovoltaico Gabriela Solar;Solar;11;9.0;1
Región del Maule;Parral;Parral Solar SpA;Parque Fotovoltaico Parral;Solar;10.7;10.66;13
Región de La Araucanía;Loncoche;PARQUE AGROVOLTAICO LONCOCHE SPA;Parque Agro-Fotovoltaico Loncoche;Solar;140;200.0;14
Región de Atacama;Alto del Carmen;PFV Peuco SpA;PFV Peuco;Solar;60.3;15.9;16
Región de Coquimbo;Los Vilos;Generadora Caimanes SpA;Planta Solar Fotovoltaica Caimanes;Solar;10;17.64;15
Región Metropolitana de Santiago;Talagante;Flux Solar Energías Renovables SpA;Parque Fotovoltaico Talagante 2;Solar;8.1;5.85;1
Región del Maule;Teno;GUANAQUITO SOLAR SPA;Arboleda Solar;Solar;180;97.48;13
Región del Libertador Gral. Bernardo O’Higgins;Rengo;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Rosario 8 MW;Solar;13.5;9.58;6
Región de Valparaíso;Nogales;Parque Solar Patagua SpA;Parque Fotovoltaico Doña Alicia;Solar;11;11.0;2
Región de Ñuble;San Ignacio;Solek Chile Services SpA;Parque Fotovoltaico Pueblo Seco;Solar;10;10.66;3
Región Metropolitana de Santiago;Colina;Chilener I SpA;Parque Fotovoltaico Chacabuco;Solar;10;9.8;1
Región de Atacama;Vallenar-Freirina;Parque Solar Llanos de Marañón SpA;Parque Fotovoltaico Llanos de Marañón;Solar;372;432.0;16
Región de Valparaíso;Casablanca;GESTIÓN SOLAR S.A.;Central Solar Fotovoltaica Gran Piquero;Solar;10.5;11.6;2
Región del Maule;San Clemente;VESPA SOLAR SpA;Parque Solar San Clemente Flor Del Llano;Solar;6.5;6.5;13
Región Metropolitana de Santiago;Lampa;Alto Cautin;Parque Fotovoltaico Viñedos;Solar;7;6.57;1
Región de Los Lagos;Purranque;Windkraft Purranque 1 SPA;Instalación de 3 Aerogeneradores Purranque 1;Eólica;17;20.4;12
Región de Atacama;Caldera;Montajes Cielpanel SpA;Proyecto Fotovoltaico CE Pampa Bellavista;Solar;10;10.46;16
Región de Tarapacá;Huara;Pesquero Solar SpA;Proyecto Fotovoltaico Ceresuela;Solar;12;13.0;8
Región de Atacama;Vallenar;CMS SPVI SpA;Parque Fotovoltaico Hijuela;Solar;12.6;12.6;16
Región de Valparaíso;Casablanca-Algarrobo;LOMA VERDE SOLAR SPA;Planta fotovoltaica Loma Verde Solar con almacenamiento;Solar;130;84.0;2
Región del Libertador Gral. Bernardo O’Higgins;La Estrella;FOTOVOLTAICA MAÑÍO SPA;CENTRAL SOLAR GRAN GUADALAO;Solar;0.8;0.8295;6
Región del Libertador Gral. Bernardo O’Higgins;San Vicente;Solek Chile Services SpA;Parque Fotovoltaico Los Mayos;Solar;10;3.24;6
Región de Coquimbo;Andacollo;Solarig Development Chile SpA;Central Fotovoltaica Sol de La Virgen;Solar;26.7;6.2;15
Región de Magallanes y de la Antártica Chilena;Punta Arenas-Laguna Blanca-San Gregorio;ASOE Chile Diez SpA;Proyecto integral para la producción y exportación de amoniaco verde - HNH ENERGY;Eólica;11000;1400.0;11
Región del Maule;Retiro;Coihue SpA.;PROYECTO  PARQUE SOLAR FOTOVOLTAICO COIHUE;Solar;13;10.85;13
Región de Valparaíso;Nogales;Solek Chile Services SpA;Parque Fotovoltaico El Gozo;Solar;10;10.61;2
Región del Maule;Maule;Tielmes Energía SpA;PSF Maule X;Solar;10;11.4;13
Región de Los Lagos;Frutillar;Windkraft Villa Alegre 2 SPA;Instalación de 3 Aerogeneradores Villa Alegre 2;Eólica;17;16.8;12
Región de Valparaíso;Petorca;Sonnedix Chile Energy Storage SpA;Modificación Planta Solar Fotovoltaica Santa Julia con Sistema de Almacenamiento de Energía;Solar;5.3;2.58;2
Región del Libertador Gral. Bernardo O’Higgins;Malloa-San Fernando-Chimbarongo-Placilla;Los Llanos Solar SpA;Parque Fotovoltaico Los Llanos Solar;Solar;167;207.86;6
Región de Valparaíso;Quintero;Grupo energy Lancuyen spa;Planta Solar El Peumo;Solar;10;11.0;2
Región de Valparaíso;San Felipe;Grupotec Chile SpA;Parque Fotovoltaico Doña Pierina;Solar;9;8.866;2
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;PFV PORTEZUELO SPA;Planta Fotovoltaica Portezuelo PMG;Solar;15;10.3;6
Región del Libertador Gral. Bernardo O’Higgins;Rancagua;ORION POWER SpA;Parque Solar Fotovoltaico San Ramón;Solar;20;12.52;6
Región del Maule;Constitución;Blue Solar Uno SpA;Parque Solar Collanco;Solar;9.4;10.5;13
Región de Valparaíso;Nogales;EL COBRE SPA;PV EL COBRE;Solar;12.3;10.8;2
Región del Libertador Gral. Bernardo O’Higgins;San Fernando;SUR SOLAR SpA;NUEVA CENTRAL SOLAR FOTOVOLTAICA LAS GUINDILLAS;Solar;10.3;10.26;6
Región de Ñuble;Chillán;MVC SOLAR 56 SpA;Parque Fotovoltaico Doña Elvira;Solar;11;11.0;3
Región de Valparaíso;Nogales;Andina Solar 13 SpA;Parque Solar La Peña;Solar;8;8.0;2
Región del Libertador Gral. Bernardo O’Higgins;Palmilla;Blue Light Energy SpA;Parque Solar Talinom;Solar;7.8;7.767;6
Región de Valparaíso;Casablanca;Fontus SCL III SpA;Parque Solar Fotovoltaico Acuyo;Solar;185;82.0;2
Región de Tarapacá;Alto Hospicio;Isluga Solar SpA;Isluga Solar SpA;Solar;12;9.0;8
Región Metropolitana de Santiago;Talagante-El Monte;Solek Chile Services SpA;Parque Fotovoltaico Del Sol;Solar;10;10.66;1
Región del Libertador Gral. Bernardo O’Higgins;San Fernando;PFV LAS CACHANAS SPA;Parque Fotovoltaico Las Cachañas;Solar;12;12.0;6
Región de Los Ríos;Lago Ranco;Los Portones S.A.;Ampliación PMGD Los Portones;Hidro;1.5;1.5;4
Región del Biobío;Los Angeles;Andina Solar 17 Este SPA;Parque Fotovoltaico Santa Julia (Paillihue);Solar;10;10.7;9
Región de Antofagasta;Calama;Paine Energy SpA;Parque Fotovoltaico Verano de San Juan II;Solar;15;9.0;7
Región del Maule;Talca;Maite Solar SpA;Parque fotovoltaico Salamanca;Solar;10;10.5;13
Región de Valparaíso;Nogales;El Melon Renovables SpA;PV EL MELON;Solar;10.9;10.8;2
Región de Ñuble;Chillán-San Carlos;Rinconada Solar SpA;Rinconada Solar;Solar;50;67.9;3
Región del Libertador Gral. Bernardo O’Higgins;Las Cabras;PV Power Chile SpA;Parque Fotovoltaico Don Chacho;Solar;10;10.64;6
Región de Coquimbo;Los Vilos;TILAMA GENERADORA DE ENERGIA SPA;Planta Solar Fotovoltaica Tilama;Solar;8;12.5;15
Región Metropolitana de Santiago;Colina;VIA AURORA VR46 SPA;PARQUE SOLAR COLINA;Solar;80;90.746;1
Región de Valparaíso;La Ligua;LETRAN TRANSMISION SPA;Planta Solar La Ligua 9 MW;Solar;6.7;10.5;2
Región del Maule;Licantén-Vichuquén;Lobo Solar SpA;Parque Solar Vichuquén Santa Elena;Solar;12;12.0;13
Región de Los Lagos;Quellón-Chonchi;Altos de Tablaruca SpA;Parque Eólico Altos de Tablaruca;Eólica;325;304.0;12
Región de Ñuble;Yungay;Imola Solar SpA;Planta Fotovoltaica Imola Solar;Solar;15;11.1;3
Región de Antofagasta;María Elena;Planta solar Tocopilla SpA;Planta Fotovoltaica Tocopilla;Solar;170;227.46;7
Región de Valparaíso;Quillota;Energia Esmeralda SpA;Energía Esmeralda;Solar;10;11.658;2
Región de Atacama;Vallenar;Energía Renovable Violeta SpA;Parque solar fotovoltaico Ceibo;Solar;220;250.0;16
Región de Coquimbo;La Serena;La Polvareda SG SpA;Parque Solar La Polvareda;Solar;30;14.7;15
Región de Ñuble;Pemuco;Las Mellizas Generación SpA.;Planta Fotovoltaica Las Mellizas;Solar;400;173.0;3
Región Metropolitana de Santiago;Colina;CVE Proyecto Sesenta y Dos Spa;Parque Fotovoltaico Catalina Solar;Solar;12.9;9.0;1
Región de La Araucanía;Villarrica;ENERGIA RENOVABLE AMBAR SPA;Parque Fotovoltaico El Rincon;Solar;11;11.0;14
Región Metropolitana de Santiago;Quilicura-Lampa;Grupo energy Lancuyen spa;Planta Solar Los Boldos;Solar;10;11.0;1
Región Metropolitana de Santiago;San Pedro;Solar TI Treinta y Cuatro SpA;Proyecto Parque Fotovoltaico Llancay;Solar;12;12.13;1
Región de Antofagasta;Antofagasta-Sierra Gorda;DPP HOLDING CHILE SPA;Parque Fotovoltaico Titan Solar;Solar;12;12.5;7
