Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MUF;Capacidad_MW;Latitud;Longitud;Plazo;NumeroBanda;Transmision
Región de Antofagasta;NA;Titular44;Nombre44;Eólica-Solar;19.2;392;NA;NA;13;88;83
Región de Antofagasta;NA;Titular45;Nombre45;Eólica-Solar;14.9736;614;NA;NA;10;62;84
Región de Antofagasta;NA;Titular46;Nombre46;Eólica-Solar;19.2;392;NA;NA;14;71;56
Región de Antofagasta;NA;Titular47;Nombre47;Eólica-Solar;9.768;364;NA;NA;15;87;85
Región de Antofagasta;NA;Titular48;Nombre48;Eólica-Solar;14.9736;557;NA;NA;13;67;53
Región de Antofagasta;NA;Titular49;Nombre49;Eólica-Solar;9.768;364;NA;NA;12;94;95
Región de Antofagasta;NA;Titular50;Nombre50;Eólica-Solar;14.9736;614;NA;NA;9;94;83
Región de Antofagasta;NA;Titular51;Nombre51;Eólica-Solar;19.2;392;NA;NA;14;66;52
Región de Antofagasta;NA;Titular52;Nombre52;Eólica-Solar;14.9736;614;NA;NA;10;89;69
Región de Antofagasta;NA;Titular53;Nombre53;Eólica-Solar;18;539;NA;NA;13;76;53
Región de Antofagasta;NA;Titular54;Nombre54;Eólica-Solar;20.976;1294.71;NA;NA;8;74;72
Región de Antofagasta;NA;Titular55;Nombre55;Eólica-Solar;18;862.5;NA;NA;16;53;53
Región de Antofagasta;NA;Titular56;Nombre56;Eólica-Solar;19.2;392;NA;NA;9;78;96
Región de Antofagasta;NA;Titular57;Nombre57;Geotérmica;4.8;35;NA;NA;NA;93;58
Región de Antofagasta;NA;Titular58;Nombre58;Geotérmica;4.8;35;NA;NA;NA;54;61
Región de Antofagasta;NA;Titular59;Nombre59;Geotérmica;4.8;35;NA;NA;NA;100;82
Región de Antofagasta;NA;Titular60;Nombre60;Hidro;33.6;800;NA;NA;5;100;60
Región de Antofagasta;NA;Titular61;Nombre61;Hidro;33.6;800;NA;NA;4;96;80
Región de Antofagasta;NA;Titular62;Nombre62;Solar;43.2;690;NA;NA;4;54;61
Región de Antofagasta;NA;Titular63;Nombre63;Solar;0.288;12.5;NA;NA;3;72;66
Región de Antofagasta;NA;Titular64;Nombre64;Solar;0.324;10.79;NA;NA;5;78;82
Región de Antofagasta;NA;Titular65;Nombre65;Solar;0.276;9;NA;NA;4;75;94
Región de Antofagasta;NA;Titular66;Nombre66;Solar;96;1009.28;NA;NA;5;51;67
Región de Antofagasta;NA;Titular67;Nombre67;Solar;6.72;471.29;NA;NA;4;75;90
Región de Antofagasta;NA;Titular68;Nombre68;Solar;6.72;471.29;NA;NA;4;73;99
Región de Antofagasta;NA;Titular69;Nombre69;Solar;7.2;257;NA;NA;4;91;81
Región de Antofagasta;NA;Titular70;Nombre70;Solar;0.228;12.5;NA;NA;3;68;66
Región de Antofagasta;NA;Titular71;Nombre71;Solar;0.228;12.5;NA;NA;5;74;61
Región de Antofagasta;NA;Titular72;Nombre72;Solar;0.36;9;NA;NA;2;79;53
Región de Antofagasta;NA;Titular73;Nombre73;Solar;0.24;15;NA;NA;3;83;95
Región de Antofagasta;NA;Titular74;Nombre74;Solar;96;1009;NA;NA;4;53;67
Región de Antofagasta;NA;Titular75;Nombre75;Solar;66.9384;1009;NA;NA;3;95;87
Región de Antofagasta;NA;Titular76;Nombre76;Solar;5.952;248;NA;NA;3;87;55
Región de Antofagasta;NA;Titular77;Nombre77;Solar;0.324;10.75;NA;NA;4;82;100
Región de Antofagasta;NA;Titular78;Nombre78;Solar;0.24;12;NA;NA;3;91;62
Región de Antofagasta;NA;Titular79;Nombre79;Solar;2.424;122.4;NA;NA;5;64;71
Región de Antofagasta;NA;Titular80;Nombre80;Solar;3.36;200;NA;NA;5;57;77
Región de Antofagasta;NA;Titular81;Nombre81;Solar;0.288;12.37;NA;NA;4;63;67
Región de Antofagasta;NA;Titular82;Nombre82;Solar;0.324;10.79;NA;NA;2;70;95
Región de Antofagasta;NA;Titular83;Nombre83;Solar;0.24;15;NA;NA;2;65;58
Región de Antofagasta;NA;Titular84;Nombre84;Solar;5.952;263.45;NA;NA;5;65;53
Región de Antofagasta;NA;Titular85;Nombre85;Solar;0.228;12.5;NA;NA;2;71;98
Región de Antofagasta;NA;Titular86;Nombre86;Solar;1.032;64.14;NA;NA;5;51;82
Región de Antofagasta;NA;Titular87;Nombre87;Solar;0.324;10.79;NA;NA;4;64;80
Región de Antofagasta;NA;Titular88;Nombre88;Solar;5.952;263.45;NA;NA;4;59;56
Región de Antofagasta;NA;Titular89;Nombre89;Solar;4.08;188;NA;NA;3;93;71
Región de Antofagasta;NA;Titular90;Nombre90;Solar;10.8;489;NA;NA;2;93;70
Región de Antofagasta;NA;Titular91;Nombre91;Solar;0.24;15;NA;NA;2;86;98
Región de Antofagasta;NA;Titular92;Nombre92;Solar;0.288;13.33;NA;NA;5;95;90
Región de Antofagasta;NA;Titular93;Nombre93;Solar;0.276;9;NA;NA;3;84;85
Región de Antofagasta;NA;Titular94;Nombre94;Solar;0.324;10.82;NA;NA;2;99;55
Región de Antofagasta;NA;Titular95;Nombre95;Solar;4.08;188;NA;NA;3;72;59
Región de Antofagasta;NA;Titular96;Nombre96;Solar;6.72;471.29;NA;NA;5;90;96
Región de Antofagasta;NA;Titular97;Nombre97;Solar;0.672;9;NA;NA;4;76;52
Región de Antofagasta;NA;Titular98;Nombre98;Solar;12.78;550;NA;NA;5;97;85
Región de Antofagasta;NA;Titular99;Nombre99;Solar;96;1009;NA;NA;2;97;85
Región de Antofagasta;NA;Titular100;Nombre100;Solar;9.6;404;NA;NA;2;61;60
Región de Antofagasta;NA;Titular101;Nombre101;Solar;0.288;10.016;NA;NA;5;81;93
Región de Antofagasta;NA;Titular102;Nombre102;Solar;2.16;126;NA;NA;2;68;51
Región de Antofagasta;NA;Titular103;Nombre103;Solar;0.288;10.75;NA;NA;4;74;82
Región de Antofagasta;NA;Titular104;Nombre104;Solar;2.16;126;NA;NA;3;60;76
Región de Antofagasta;NA;Titular105;Nombre105;Solar;0.276;9;NA;NA;5;84;62
Región de Antofagasta;NA;Titular106;Nombre106;Solar;0.228;12.5;NA;NA;2;75;54
Región de Antofagasta;NA;Titular107;Nombre107;Solar;0.36;9;NA;NA;2;76;98
Región de Antofagasta;NA;Titular108;Nombre108;Solar;0.312;14.8;NA;NA;2;92;86
Región de Antofagasta;NA;Titular109;Nombre109;Solar;8.64;750;NA;NA;3;80;73
Región de Antofagasta;NA;Titular110;Nombre110;Solar;5.712;265;NA;NA;5;63;88
Región de Antofagasta;NA;Titular111;Nombre111;Solar;5.4;251.37;NA;NA;4;95;89
Región de Antofagasta;NA;Titular112;Nombre112;Solar;5.952;248;NA;NA;3;87;63
Región de Antofagasta;NA;Titular113;Nombre113;Solar;18.912;788;NA;NA;2;96;81
Región de Antofagasta;NA;Titular114;Nombre114;Solar;11.904;671;NA;NA;4;52;72
Región de Antofagasta;NA;Titular115;Nombre115;Solar;3.36;200;NA;NA;5;91;66
Región de Antofagasta;NA;Titular116;Nombre116;Solar;43.2;690;NA;NA;3;86;83
Región de Antofagasta;NA;Titular117;Nombre117;Solar;3.6;142;NA;NA;4;59;83
Región de Antofagasta;NA;Titular118;Nombre118;Solar;0.288;9.97;NA;NA;2;88;84
Región de Antofagasta;NA;Titular119;Nombre119;Solar;0.288;9;NA;NA;4;83;54
Región de Antofagasta;NA;Titular120;Nombre120;Solar;0.288;9;NA;NA;4;59;89
Región de Antofagasta;NA;Titular121;Nombre121;Solar;1.44;140.049;NA;NA;5;53;79
Región de Antofagasta;NA;Titular122;Nombre122;Solar;0.228;12.5;NA;NA;2;89;78
Región de Antofagasta;NA;Titular123;Nombre123;Solar;4.776;181;NA;NA;3;62;93
Región de Antofagasta;NA;Titular124;Nombre124;Solar;11.904;671;NA;NA;2;54;51
Región de Antofagasta;NA;Titular125;Nombre125;Solar;0.228;12.5;NA;NA;3;66;88
Región de Antofagasta;NA;Titular126;Nombre126;Solar;0.36;9;NA;NA;5;84;100
Región de Antofagasta;NA;Titular127;Nombre127;Solar;0.288;9;NA;NA;3;100;78
Región de Antofagasta;NA;Titular128;Nombre128;Solar;66.9384;1009;NA;NA;4;57;78
Región de Antofagasta;NA;Titular129;Nombre129;Solar;0.324;10.752;NA;NA;2;74;59
Región de Antofagasta;NA;Titular130;Nombre130;Solar;0.228;12.5;NA;NA;2;95;86
Región de Antofagasta;NA;Titular131;Nombre131;Solar;5.4;251.37;NA;NA;4;92;82
Región de Antofagasta;NA;Titular132;Nombre132;Solar;0.288;11.92;NA;NA;5;55;66
Región de Antofagasta;NA;Titular133;Nombre133;Solar;7.2;257;NA;NA;2;76;92
Región de Antofagasta;NA;Titular134;Nombre134;Solar;3.36;200;NA;NA;5;95;100
Región de Antofagasta;NA;Titular135;Nombre135;Solar;43.2;690;NA;NA;2;86;87
Región de Antofagasta;NA;Titular136;Nombre136;Solar;0.228;12.5;NA;NA;5;83;70
Región de Antofagasta;NA;Titular137;Nombre137;Solar;0.324;10.79;NA;NA;2;94;97
Región de Antofagasta;NA;Titular138;Nombre138;Solar;0.288;11.3;NA;NA;3;70;70
Región de Antofagasta;NA;Titular139;Nombre139;Solar;0.336;9;NA;NA;4;62;86
Región de Antofagasta;NA;Titular140;Nombre140;Solar;0.324;10.79;NA;NA;3;96;54
Región de Antofagasta;NA;Titular141;Nombre141;Solar;4.08;188;NA;NA;4;57;64
Región de Antofagasta;NA;Titular142;Nombre142;Solar;0.288;9;NA;NA;4;73;76
Región de Antofagasta;NA;Titular143;Nombre143;Solar;4.776;181;NA;NA;5;69;54
Región de Antofagasta;NA;Titular144;Nombre144;Solar;4.08;188;NA;NA;2;56;99
Región de Antofagasta;NA;Titular145;Nombre145;Solar;2.88;167.37;NA;NA;3;53;86
Región de Antofagasta;NA;Titular146;Nombre146;Solar;0.324;10.79;NA;NA;4;84;73
Región de Antofagasta;NA;Titular147;Nombre147;Solar;4.776;181;NA;NA;2;65;58
Región de Antofagasta;NA;Titular148;Nombre148;Solar;6.72;471.29;NA;NA;2;100;54
Región de Antofagasta;NA;Titular149;Nombre149;Solar;12.78;550;NA;NA;2;92;90
Región de Antofagasta;NA;Titular150;Nombre150;Solar;0.288;12;NA;NA;5;73;61
Región de Antofagasta;NA;Titular151;Nombre151;Solar;0.288;9;NA;NA;5;72;84
Región de Antofagasta;NA;Titular152;Nombre152;Solar;0.288;12.5;NA;NA;2;68;56
Región de Antofagasta;NA;Titular153;Nombre153;Solar;3.36;200;NA;NA;4;85;100
Región de Antofagasta;NA;Titular154;Nombre154;Solar;0.324;10.752;NA;NA;2;56;91
Región de Antofagasta;NA;Titular155;Nombre155;Solar;0.2376;10.89;NA;NA;3;90;60
Región de Antofagasta;NA;Titular156;Nombre156;Solar;0.2448;9;NA;NA;3;59;99
Región de Antofagasta;NA;Titular157;Nombre157;Solar;2.88;167.37;NA;NA;2;51;99
Región de Antofagasta;NA;Titular158;Nombre158;Solar;10.8;726;NA;NA;5;88;92
Región de Antofagasta;NA;Titular159;Nombre159;Solar;2.88;167.37;NA;NA;5;53;61
Región de Antofagasta;NA;Titular160;Nombre160;Solar;0.276;10.725;NA;NA;5;52;95
Región de Antofagasta;NA;Titular161;Nombre161;Solar;96;1009;NA;NA;5;96;58
Región de Antofagasta;NA;Titular162;Nombre162;Solar;0.288;10.75;NA;NA;4;73;56
Región de Antofagasta;NA;Titular163;Nombre163;Solar;0.2448;9;NA;NA;3;71;52
Región de Antofagasta;NA;Titular164;Nombre164;Solar;0.288;12.5;NA;NA;5;69;87
Región de Antofagasta;NA;Titular165;Nombre165;Solar;10.8;726;NA;NA;5;59;70
Región de Antofagasta;NA;Titular166;Nombre166;Solar;0.672;9;NA;NA;4;65;54
Región de Antofagasta;NA;Titular167;Nombre167;Solar;0.228;12.5;NA;NA;5;58;92
Región de Antofagasta;NA;Titular168;Nombre168;Solar;0.324;10.79;NA;NA;2;86;80
Región de Antofagasta;NA;Titular169;Nombre169;Solar;5.952;263.45;NA;NA;5;91;70
Región de Antofagasta;NA;Titular170;Nombre170;Solar;4.08;188;NA;NA;2;70;77
Región de Antofagasta;NA;Titular171;Nombre171;Solar;0.336;9;NA;NA;5;61;79
Región de Antofagasta;NA;Titular172;Nombre172;Solar;12.78;550;NA;NA;2;82;80
Región de Antofagasta;NA;Titular173;Nombre173;Solar;96;1009;NA;NA;4;70;60
Región de Antofagasta;NA;Titular174;Nombre174;Solar;96;1007;NA;NA;2;76;93
Región de Antofagasta;NA;Titular175;Nombre175;Solar;0.324;10.75;NA;NA;5;89;56
Región de Antofagasta;NA;Titular176;Nombre176;Solar;7.2;257;NA;NA;5;79;74
Región de Antofagasta;NA;Titular177;Nombre177;Solar;2.64;112.58;NA;NA;3;85;61
Región de Antofagasta;NA;Titular178;Nombre178;Solar;0.672;9;NA;NA;5;57;68
Región de Antofagasta;NA;Titular179;Nombre179;Solar;0.2448;9;NA;NA;4;97;55
Región de Antofagasta;NA;Titular180;Nombre180;Solar;2.424;122.4;NA;NA;4;80;61
Región de Antofagasta;NA;Titular181;Nombre181;Solar;0.276;10.725;NA;NA;4;51;63
Región de Antofagasta;NA;Titular182;Nombre182;Solar;4.08;227.46;NA;NA;2;80;91
Región de Antofagasta;NA;Titular183;Nombre183;Solar;0.312;14.8;NA;NA;3;78;93
Región de Antofagasta;NA;Titular184;Nombre184;Solar;8.4;317;NA;NA;2;90;95
Región de Antofagasta;NA;Titular185;Nombre185;Solar;2.184;120.36;NA;NA;4;55;95
Región de Antofagasta;NA;Titular186;Nombre186;Solar;0.228;12.5;NA;NA;4;75;86
Región de Antofagasta;NA;Titular187;Nombre187;Solar;9.6;404;NA;NA;5;90;90
Región de Antofagasta;NA;Titular188;Nombre188;Solar;9.6;404;NA;NA;4;91;71
Región de Antofagasta;NA;Titular189;Nombre189;Solar;8.64;750;NA;NA;4;96;96
Región de Antofagasta;NA;Titular190;Nombre190;Solar;0.288;9.9;NA;NA;3;61;54
Región de Antofagasta;NA;Titular191;Nombre191;Solar;0.288;13.9;NA;NA;2;51;75
Región de Antofagasta;NA;Titular192;Nombre192;Solar;0.228;12.5;NA;NA;4;72;71
Región de Antofagasta;NA;Titular193;Nombre193;Solar;5.952;248;NA;NA;4;93;93
Región de Antofagasta;NA;Titular194;Nombre194;Solar;0.36;9;NA;NA;4;80;66
Región de Antofagasta;NA;Titular195;Nombre195;Solar;0.276;9;NA;NA;5;81;97
Región de Antofagasta;NA;Titular196;Nombre196;Solar;10.8;489;NA;NA;4;91;93
Región de Antofagasta;NA;Titular197;Nombre197;Solar;0.2376;10.89;NA;NA;5;84;83
Región de Antofagasta;NA;Titular198;Nombre198;Solar;8.4;317;NA;NA;3;84;77
Región de Antofagasta;NA;Titular199;Nombre199;Solar;0.288;13.9;NA;NA;4;75;75
Región de Antofagasta;NA;Titular200;Nombre200;Solar;6.72;471.29;NA;NA;4;81;54
Región de Antofagasta;NA;Titular201;Nombre201;Solar;0.288;9;NA;NA;5;68;99
Región de Antofagasta;NA;Titular202;Nombre202;Solar;0.324;10.79;NA;NA;5;80;95
Región de Antofagasta;NA;Titular203;Nombre203;Solar;0.324;10.79;NA;NA;5;51;91
Región de Antofagasta;NA;Titular204;Nombre204;Solar;0.288;10.016;NA;NA;4;56;61
Región de Antofagasta;NA;Titular205;Nombre205;Solar;8.64;750;NA;NA;4;91;65
Región de Antofagasta;NA;Titular206;Nombre206;Solar;43.2;690;NA;NA;2;53;52
Región de Antofagasta;NA;Titular207;Nombre207;Solar;9.6;404;NA;NA;5;70;95
Región de Antofagasta;NA;Titular208;Nombre208;Solar;0.324;10.79;NA;NA;4;83;62
Región de Antofagasta;NA;Titular209;Nombre209;Solar;0.672;9;NA;NA;5;59;96
Región de Antofagasta;NA;Titular210;Nombre210;Solar;0.288;9;NA;NA;2;60;59
Región de Antofagasta;NA;Titular211;Nombre211;Solar;3.432;200;NA;NA;2;71;56
Región de Antofagasta;NA;Titular212;Nombre212;Solar;5.952;248;NA;NA;2;77;100
Región de Antofagasta;NA;Titular213;Nombre213;Solar;9.6;404;NA;NA;3;58;74
Región de Antofagasta;NA;Titular214;Nombre214;Solar;0.324;10.75;NA;NA;3;71;75
Región de Antofagasta;NA;Titular215;Nombre215;Solar;0.228;12.5;NA;NA;4;66;96
Región de Antofagasta;NA;Titular216;Nombre216;Solar;4.8;262.68;NA;NA;5;52;62
Región de Antofagasta;NA;Titular217;Nombre217;Solar;0.288;9;NA;NA;5;75;65
Región de Antofagasta;NA;Titular218;Nombre218;Solar;0.324;10.79;NA;NA;3;80;97
Región de Antofagasta;NA;Titular219;Nombre219;Solar;2.16;91.85;NA;NA;3;54;54
Región de Antofagasta;NA;Titular220;Nombre220;Solar;8.4;492;NA;NA;2;51;71
Región de Antofagasta;NA;Titular221;Nombre221;Solar;0.2376;10.89;NA;NA;3;96;80
Región de Antofagasta;NA;Titular222;Nombre222;Solar;0.36;9;NA;NA;4;77;83
Región de Antofagasta;NA;Titular223;Nombre223;Solar;2.184;120.36;NA;NA;3;93;81
Región de Antofagasta;NA;Titular224;Nombre224;Solar;60;600;NA;NA;5;91;71
Región de Antofagasta;NA;Titular225;Nombre225;Solar;1.032;64.14;NA;NA;3;78;78
Región de Antofagasta;NA;Titular226;Nombre226;Solar;0.276;10.725;NA;NA;3;52;78
Región de Antofagasta;NA;Titular227;Nombre227;Solar;4.08;227.46;NA;NA;2;67;60
Región de Antofagasta;NA;Titular228;Nombre228;Solar;2.184;120.36;NA;NA;2;94;72
Región de Antofagasta;NA;Titular229;Nombre229;Solar;0.36;9;NA;NA;4;61;58
Región de Antofagasta;NA;Titular230;Nombre230;Solar;11.904;671;NA;NA;3;68;51
Región de Antofagasta;NA;Titular231;Nombre231;Solar;1.44;140.049;NA;NA;5;97;86
Región de Antofagasta;NA;Titular232;Nombre232;Solar;7.2;257;NA;NA;5;96;86
Región de Antofagasta;NA;Titular233;Nombre233;Solar;18.912;788;NA;NA;2;85;61
Región de Antofagasta;NA;Titular234;Nombre234;Solar;0.288;13.33;NA;NA;2;95;85
Región de Antofagasta;NA;Titular235;Nombre235;Solar;0.288;9;NA;NA;5;79;85
Región de Antofagasta;NA;Titular236;Nombre236;Solar;10.8;726;NA;NA;2;62;92
Región de Antofagasta;NA;Titular237;Nombre237;Solar;4.776;181;NA;NA;4;69;76
Región de Antofagasta;NA;Titular238;Nombre238;Solar;43.2;690;NA;NA;2;78;97
Región de Antofagasta;NA;Titular239;Nombre239;Solar;0.324;10.79;NA;NA;5;68;84
Región de Antofagasta;NA;Titular240;Nombre240;Solar;0.24;15.25;NA;NA;2;74;82
Región de Antofagasta;NA;Titular241;Nombre241;Solar;0.324;10.79;NA;NA;3;79;60
Región de Antofagasta;NA;Titular242;Nombre242;Solar;0.288;10.016;NA;NA;3;67;59
Región de Antofagasta;NA;Titular243;Nombre243;Solar;0.288;12.5;NA;NA;2;53;96
Región de Antofagasta;NA;Titular244;Nombre244;Solar;4.8;262.68;NA;NA;2;87;85
Región de Antofagasta;NA;Titular245;Nombre245;Solar;18.912;788;NA;NA;4;81;82
Región de Antofagasta;NA;Titular246;Nombre246;Solar;0.4752;9;NA;NA;4;66;96
Región de Antofagasta;NA;Titular247;Nombre247;Solar;0.324;10.79;NA;NA;5;85;95
Región de Antofagasta;NA;Titular248;Nombre248;Solar;8.64;750;NA;NA;4;75;93
Región de Antofagasta;NA;Titular249;Nombre249;Solar;0.288;9;NA;NA;4;63;84
Región de Antofagasta;NA;Titular250;Nombre250;Solar;0.288;9;NA;NA;4;68;78
Región de Antofagasta;NA;Titular251;Nombre251;Solar;43.2;690;NA;NA;3;67;77
Región de Antofagasta;NA;Titular252;Nombre252;Solar;0.324;10.75;NA;NA;4;88;73
Región de Antofagasta;NA;Titular253;Nombre253;Solar;5.712;265;NA;NA;3;78;61
Región de Antofagasta;NA;Titular254;Nombre254;Solar;5.4;251.37;NA;NA;3;79;93
Región de Antofagasta;NA;Titular255;Nombre255;Solar;0.288;11.92;NA;NA;5;86;71
Región de Antofagasta;NA;Titular256;Nombre256;Solar;0.288;12;NA;NA;2;86;59
Región de Antofagasta;NA;Titular257;Nombre257;Solar;0.2376;10.83;NA;NA;2;84;70
Región de Antofagasta;NA;Titular258;Nombre258;Solar;66.9384;1009;NA;NA;2;57;55
Región de Antofagasta;NA;Titular259;Nombre259;Solar;0.228;12.5;NA;NA;2;68;53
Región de Antofagasta;NA;Titular260;Nombre260;Solar;0.324;10.79;NA;NA;2;70;70
Región de Arica y Parinacota;NA;Titular261;Nombre261;Solar;0.24;12.08;NA;NA;4;140;149
Región de Arica y Parinacota;NA;Titular262;Nombre262;Solar;0.288;13.3;NA;NA;4;120;121
Región de Arica y Parinacota;NA;Titular263;Nombre263;Solar;0.288;12.9;NA;NA;4;124;132
Región de Arica y Parinacota;NA;Titular264;Nombre264;Solar;0.24;12.08;NA;NA;2;120;139
Región de Arica y Parinacota;NA;Titular265;Nombre265;Solar;5.04;358.67;NA;NA;5;114;128
Región de Arica y Parinacota;NA;Titular266;Nombre266;Solar;8.232;198.04;NA;NA;5;130;109
Región de Arica y Parinacota;NA;Titular267;Nombre267;Solar;0.24;9.644;NA;NA;3;140;149
Región de Arica y Parinacota;NA;Titular268;Nombre268;Solar;0.288;10.8;NA;NA;4;125;137
Región de Arica y Parinacota;NA;Titular269;Nombre269;Solar;0.2568;10.52;NA;NA;5;148;141
Región de Arica y Parinacota;NA;Titular270;Nombre270;Solar;0.288;13.8;NA;NA;2;105;149
Región de Arica y Parinacota;NA;Titular271;Nombre271;Solar;0.24;9.644;NA;NA;2;126;121
Región de Arica y Parinacota;NA;Titular272;Nombre272;Solar;0.288;13.3;NA;NA;5;148;138
Región de Arica y Parinacota;NA;Titular273;Nombre273;Solar;0.24;12.08;NA;NA;5;115;146
Región de Arica y Parinacota;NA;Titular274;Nombre274;Solar;0.2568;10.52;NA;NA;5;123;127
Región de Arica y Parinacota;NA;Titular275;Nombre275;Solar;0.24;6.79;NA;NA;5;131;105
Región de Arica y Parinacota;NA;Titular276;Nombre276;Solar;0.288;13.2;NA;NA;5;133;144
Región de Arica y Parinacota;NA;Titular277;Nombre277;Solar;0.288;13.3;NA;NA;3;103;142
Región de Arica y Parinacota;NA;Titular278;Nombre278;Solar;1.584;16.77;NA;NA;2;137;106
Región de Arica y Parinacota;NA;Titular279;Nombre279;Solar;5.04;358.7;NA;NA;3;142;111
Región de Arica y Parinacota;NA;Titular280;Nombre280;Solar;0.24;12.08;NA;NA;2;102;128
Región de Arica y Parinacota;NA;Titular281;Nombre281;Solar;0.2568;10.52;NA;NA;4;138;113
Región de Arica y Parinacota;NA;Titular282;Nombre282;Solar;0.288;13.2;NA;NA;5;142;130
Región de Arica y Parinacota;NA;Titular283;Nombre283;Solar;0.2568;10.52;NA;NA;2;109;137
Región de Arica y Parinacota;NA;Titular284;Nombre284;Solar;0.24;9.644;NA;NA;3;119;141
Región de Arica y Parinacota;NA;Titular285;Nombre285;Solar;0.24;6.79;NA;NA;3;108;114
Región de Arica y Parinacota;NA;Titular286;Nombre286;Solar;1.632;9;NA;NA;3;124;122
