Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MUF;Capacidad_MW;Latitud;Longitud;Plazo;NumeroBanda
Región de Antofagasta;NA;Titular36;Nombre36;Eólica;5.904;204.6;NA;NA;15;64
Región de Antofagasta;NA;Titular37;Nombre37;Eólica;6.168;280;NA;NA;13;86
Región de Antofagasta;NA;Titular38;Nombre38;Eólica;16.8;980;NA;NA;13;92
Región de Antofagasta;NA;Titular39;Nombre39;Eólica;15.48;336;NA;NA;14;65
Región de Antofagasta;NA;Titular40;Nombre40;Eólica-Solar;18;862.5;NA;NA;13;82
Región de Antofagasta;NA;Titular41;Nombre41;Eólica-Solar;14.9736;557;NA;NA;16;92
Región de Antofagasta;NA;Titular42;Nombre42;Eólica-Solar;14.9736;557;NA;NA;16;87
Región de Antofagasta;NA;Titular43;Nombre43;Eólica-Solar;9.768;364;NA;NA;12;72
Región de Antofagasta;NA;Titular44;Nombre44;Eólica-Solar;18;862.5;NA;NA;13;91
Región de Antofagasta;NA;Titular45;Nombre45;Eólica-Solar;18;539;NA;NA;11;94
Región de Antofagasta;NA;Titular46;Nombre46;Eólica-Solar;18;539;NA;NA;10;52
Región de Antofagasta;NA;Titular47;Nombre47;Eólica-Solar;14.9736;614;NA;NA;13;83
Región de Antofagasta;NA;Titular48;Nombre48;Eólica-Solar;20.976;1294.71;NA;NA;11;91
Región de Antofagasta;NA;Titular49;Nombre49;Eólica-Solar;18;539;NA;NA;12;97
Región de Antofagasta;NA;Titular50;Nombre50;Eólica-Solar;14.9736;614;NA;NA;14;95
Región de Antofagasta;NA;Titular51;Nombre51;Eólica-Solar;18;862.5;NA;NA;10;87
Región de Antofagasta;NA;Titular52;Nombre52;Eólica-Solar;18;539;NA;NA;10;54
Región de Antofagasta;NA;Titular53;Nombre53;Eólica-Solar;20.976;1294.71;NA;NA;12;60
Región de Antofagasta;NA;Titular54;Nombre54;Eólica-Solar;14.9736;557;NA;NA;12;52
Región de Antofagasta;NA;Titular55;Nombre55;Eólica-Solar;9.768;364;NA;NA;11;91
Región de Antofagasta;NA;Titular56;Nombre56;Eólica-Solar;14.9736;614;NA;NA;16;55
Región de Antofagasta;NA;Titular59;Nombre59;Hidro;33.6;800;NA;NA;5;54
Región de Antofagasta;NA;Titular60;Nombre60;Hidro;33.6;800;NA;NA;5;80
Región de Antofagasta;NA;Titular61;Nombre61;Hidro;33.6;800;NA;NA;5;87
Región de Antofagasta;NA;Titular62;Nombre62;Solar;0.276;10.725;NA;NA;5;86
Región de Antofagasta;NA;Titular63;Nombre63;Solar;7.2;257;NA;NA;4;93
Región de Antofagasta;NA;Titular64;Nombre64;Solar;0.324;10.82;NA;NA;5;54
Región de Antofagasta;NA;Titular65;Nombre65;Solar;0.324;10.79;NA;NA;5;86
Región de Antofagasta;NA;Titular66;Nombre66;Solar;8.4;492;NA;NA;2;59
Región de Antofagasta;NA;Titular67;Nombre67;Solar;0.324;10.79;NA;NA;3;56
Región de Antofagasta;NA;Titular68;Nombre68;Solar;0.288;12.5;NA;NA;4;95
Región de Antofagasta;NA;Titular69;Nombre69;Solar;4.08;227.46;NA;NA;2;58
Región de Antofagasta;NA;Titular70;Nombre70;Solar;0.288;9;NA;NA;2;60
Región de Antofagasta;NA;Titular71;Nombre71;Solar;0.288;10.75;NA;NA;3;57
Región de Antofagasta;NA;Titular72;Nombre72;Solar;8.64;750;NA;NA;4;95
Región de Antofagasta;NA;Titular73;Nombre73;Solar;2.88;167.37;NA;NA;2;95
Región de Antofagasta;NA;Titular74;Nombre74;Solar;0.36;9;NA;NA;3;82
Región de Antofagasta;NA;Titular75;Nombre75;Solar;17.04;379;NA;NA;4;67
Región de Antofagasta;NA;Titular76;Nombre76;Solar;10.8;726;NA;NA;3;67
Región de Antofagasta;NA;Titular77;Nombre77;Solar;4.776;181;NA;NA;4;97
Región de Antofagasta;NA;Titular78;Nombre78;Solar;0.288;13.33;NA;NA;2;73
Región de Antofagasta;NA;Titular79;Nombre79;Solar;2.16;126;NA;NA;2;82
Región de Antofagasta;NA;Titular80;Nombre80;Solar;0.324;10.79;NA;NA;4;83
Región de Antofagasta;NA;Titular81;Nombre81;Solar;10.8;726;NA;NA;4;60
Región de Antofagasta;NA;Titular82;Nombre82;Solar;0.288;12.5;NA;NA;5;53
Región de Antofagasta;NA;Titular83;Nombre83;Solar;0.228;12.5;NA;NA;5;81
Región de Antofagasta;NA;Titular84;Nombre84;Solar;0.336;9;NA;NA;5;97
Región de Antofagasta;NA;Titular85;Nombre85;Solar;1.392;75.41;NA;NA;5;80
Región de Antofagasta;NA;Titular86;Nombre86;Solar;0.288;12.37;NA;NA;5;74
Región de Antofagasta;NA;Titular87;Nombre87;Solar;0.288;12.5;NA;NA;5;81
Región de Antofagasta;NA;Titular88;Nombre88;Solar;0.288;12;NA;NA;3;79
Región de Antofagasta;NA;Titular89;Nombre89;Solar;96;1009.28;NA;NA;2;72
Región de Antofagasta;NA;Titular90;Nombre90;Solar;11.904;671;NA;NA;4;55
Región de Antofagasta;NA;Titular91;Nombre91;Solar;18.912;788;NA;NA;4;90
Región de Antofagasta;NA;Titular92;Nombre92;Solar;0.324;10.752;NA;NA;3;94
Región de Antofagasta;NA;Titular93;Nombre93;Solar;4.8;155;NA;NA;5;72
Región de Antofagasta;NA;Titular94;Nombre94;Solar;7.2;257;NA;NA;5;80
Región de Antofagasta;NA;Titular95;Nombre95;Solar;4.8;155;NA;NA;5;51
Región de Antofagasta;NA;Titular96;Nombre96;Solar;5.4;251.37;NA;NA;5;63
Región de Antofagasta;NA;Titular97;Nombre97;Solar;9.6;404;NA;NA;4;51
Región de Antofagasta;NA;Titular98;Nombre98;Solar;0.288;12.5;NA;NA;5;75
Región de Antofagasta;NA;Titular99;Nombre99;Solar;10.8;489;NA;NA;3;60
Región de Antofagasta;NA;Titular100;Nombre100;Solar;11.904;671;NA;NA;4;68
Región de Antofagasta;NA;Titular101;Nombre101;Solar;4.776;181;NA;NA;3;56
Región de Antofagasta;NA;Titular102;Nombre102;Solar;96;1009.28;NA;NA;3;92
Región de Antofagasta;NA;Titular103;Nombre103;Solar;8.64;750;NA;NA;5;60
Región de Antofagasta;NA;Titular104;Nombre104;Solar;0.288;9;NA;NA;5;88
Región de Antofagasta;NA;Titular105;Nombre105;Solar;2.184;120.36;NA;NA;5;88
Región de Antofagasta;NA;Titular106;Nombre106;Solar;96;1009;NA;NA;2;94
Región de Antofagasta;NA;Titular107;Nombre107;Solar;0.288;10.016;NA;NA;3;53
Región de Antofagasta;NA;Titular108;Nombre108;Solar;0.288;9;NA;NA;4;53
Región de Antofagasta;NA;Titular109;Nombre109;Solar;3.432;200;NA;NA;5;60
Región de Antofagasta;NA;Titular110;Nombre110;Solar;2.16;126;NA;NA;2;59
Región de Antofagasta;NA;Titular111;Nombre111;Solar;0.36;9;NA;NA;3;62
Región de Antofagasta;NA;Titular112;Nombre112;Solar;2.16;126;NA;NA;4;58
Región de Antofagasta;NA;Titular113;Nombre113;Solar;3.6;142;NA;NA;2;94
Región de Antofagasta;NA;Titular114;Nombre114;Solar;3.6;142;NA;NA;3;54
Región de Antofagasta;NA;Titular115;Nombre115;Solar;96;1009.28;NA;NA;3;91
Región de Antofagasta;NA;Titular116;Nombre116;Solar;0.288;9;NA;NA;2;72
Región de Antofagasta;NA;Titular117;Nombre117;Solar;0.312;14.8;NA;NA;5;97
Región de Antofagasta;NA;Titular118;Nombre118;Solar;0.288;13.33;NA;NA;4;93
Región de Antofagasta;NA;Titular119;Nombre119;Solar;5.712;265;NA;NA;5;81
Región de Antofagasta;NA;Titular120;Nombre120;Solar;3.36;200;NA;NA;3;62
Región de Antofagasta;NA;Titular121;Nombre121;Solar;3.432;200;NA;NA;4;72
Región de Antofagasta;NA;Titular122;Nombre122;Solar;0.312;14.8;NA;NA;5;86
Región de Antofagasta;NA;Titular123;Nombre123;Solar;8.4;492;NA;NA;5;68
Región de Antofagasta;NA;Titular124;Nombre124;Solar;7.2;257;NA;NA;4;57
Región de Antofagasta;NA;Titular125;Nombre125;Solar;9.6;404;NA;NA;3;79
Región de Antofagasta;NA;Titular126;Nombre126;Solar;5.4;251.37;NA;NA;4;71
Región de Antofagasta;NA;Titular127;Nombre127;Solar;0.336;9;NA;NA;2;74
Región de Antofagasta;NA;Titular128;Nombre128;Solar;0.288;12;NA;NA;4;52
Región de Antofagasta;NA;Titular129;Nombre129;Solar;3.432;200;NA;NA;5;83
Región de Antofagasta;NA;Titular130;Nombre130;Solar;0.324;10.79;NA;NA;5;72
Región de Antofagasta;NA;Titular131;Nombre131;Solar;0.228;12.5;NA;NA;4;58
Región de Antofagasta;NA;Titular132;Nombre132;Solar;17.04;379;NA;NA;2;95
Región de Antofagasta;NA;Titular133;Nombre133;Solar;0.324;10.79;NA;NA;3;51
Región de Antofagasta;NA;Titular134;Nombre134;Solar;7.2;257;NA;NA;4;70
Región de Antofagasta;NA;Titular135;Nombre135;Solar;0.324;10.752;NA;NA;4;99
Región de Antofagasta;NA;Titular136;Nombre136;Solar;9.6;404;NA;NA;3;55
Región de Antofagasta;NA;Titular137;Nombre137;Solar;0.2448;9;NA;NA;2;58
Región de Antofagasta;NA;Titular138;Nombre138;Solar;0.324;10.752;NA;NA;5;84
Región de Antofagasta;NA;Titular139;Nombre139;Solar;10.8;726;NA;NA;3;62
Región de Antofagasta;NA;Titular140;Nombre140;Solar;0.312;14.8;NA;NA;3;98
Región de Antofagasta;NA;Titular141;Nombre141;Solar;4.08;188;NA;NA;3;99
Región de Antofagasta;NA;Titular142;Nombre142;Solar;5.712;265;NA;NA;4;99
Región de Antofagasta;NA;Titular143;Nombre143;Solar;0.4752;9;NA;NA;5;68
Región de Antofagasta;NA;Titular144;Nombre144;Solar;0.288;12.5;NA;NA;4;85
Región de Antofagasta;NA;Titular145;Nombre145;Solar;3.6;142;NA;NA;5;100
Región de Antofagasta;NA;Titular146;Nombre146;Solar;3.6;142;NA;NA;2;54
Región de Antofagasta;NA;Titular147;Nombre147;Solar;0.288;9.9;NA;NA;5;54
Región de Antofagasta;NA;Titular148;Nombre148;Solar;0.288;10.75;NA;NA;2;64
Región de Antofagasta;NA;Titular149;Nombre149;Solar;1.44;140.049;NA;NA;4;62
Región de Antofagasta;NA;Titular150;Nombre150;Solar;0.324;10.79;NA;NA;4;98
Región de Antofagasta;NA;Titular151;Nombre151;Solar;10.8;726;NA;NA;4;79
Región de Antofagasta;NA;Titular152;Nombre152;Solar;0.324;10.79;NA;NA;5;90
Región de Antofagasta;NA;Titular153;Nombre153;Solar;18.912;788;NA;NA;3;55
Región de Antofagasta;NA;Titular154;Nombre154;Solar;4.08;188;NA;NA;2;51
Región de Antofagasta;NA;Titular155;Nombre155;Solar;96;1009;NA;NA;5;77
Región de Antofagasta;NA;Titular156;Nombre156;Solar;8.4;317;NA;NA;2;99
Región de Antofagasta;NA;Titular157;Nombre157;Solar;0.2376;10.83;NA;NA;3;77
Región de Antofagasta;NA;Titular158;Nombre158;Solar;10.8;489;NA;NA;3;85
Región de Antofagasta;NA;Titular159;Nombre159;Solar;0.288;9;NA;NA;5;65
Región de Antofagasta;NA;Titular160;Nombre160;Solar;3.432;200;NA;NA;4;82
Región de Antofagasta;NA;Titular161;Nombre161;Solar;4.8;155;NA;NA;3;53
Región de Antofagasta;NA;Titular162;Nombre162;Solar;0.276;10.725;NA;NA;5;91
Región de Antofagasta;NA;Titular163;Nombre163;Solar;0.2376;10.83;NA;NA;2;66
Región de Antofagasta;NA;Titular164;Nombre164;Solar;9.6;404;NA;NA;2;72
Región de Antofagasta;NA;Titular165;Nombre165;Solar;0.276;9;NA;NA;4;88
Región de Antofagasta;NA;Titular166;Nombre166;Solar;9.6;404;NA;NA;3;66
Región de Antofagasta;NA;Titular167;Nombre167;Solar;66.9384;1009;NA;NA;5;53
Región de Antofagasta;NA;Titular168;Nombre168;Solar;0.324;10.79;NA;NA;2;68
Región de Antofagasta;NA;Titular169;Nombre169;Solar;96;1009;NA;NA;4;77
Región de Antofagasta;NA;Titular170;Nombre170;Solar;11.904;671;NA;NA;4;72
Región de Antofagasta;NA;Titular171;Nombre171;Solar;1.392;75.41;NA;NA;5;95
Región de Antofagasta;NA;Titular172;Nombre172;Solar;1.032;64.14;NA;NA;5;54
Región de Antofagasta;NA;Titular173;Nombre173;Solar;6.72;471.29;NA;NA;5;76
Región de Antofagasta;NA;Titular174;Nombre174;Solar;0.288;9.9;NA;NA;5;98
Región de Antofagasta;NA;Titular175;Nombre175;Solar;2.64;112.58;NA;NA;3;63
Región de Antofagasta;NA;Titular176;Nombre176;Solar;0.324;10.79;NA;NA;2;67
Región de Antofagasta;NA;Titular177;Nombre177;Solar;0.324;10.79;NA;NA;2;89
Región de Antofagasta;NA;Titular178;Nombre178;Solar;4.8;262.68;NA;NA;5;84
Región de Antofagasta;NA;Titular179;Nombre179;Solar;9.6;404;NA;NA;3;63
Región de Antofagasta;NA;Titular180;Nombre180;Solar;2.16;126;NA;NA;3;72
Región de Antofagasta;NA;Titular181;Nombre181;Solar;5.952;248;NA;NA;3;85
Región de Antofagasta;NA;Titular182;Nombre182;Solar;0.228;12.5;NA;NA;4;54
Región de Antofagasta;NA;Titular183;Nombre183;Solar;0.288;11.3;NA;NA;2;55
Región de Antofagasta;NA;Titular184;Nombre184;Solar;4.08;188;NA;NA;2;82
Región de Antofagasta;NA;Titular185;Nombre185;Solar;0.324;10.79;NA;NA;5;74
Región de Antofagasta;NA;Titular186;Nombre186;Solar;96;1009;NA;NA;3;79
Región de Antofagasta;NA;Titular187;Nombre187;Solar;4.8;155;NA;NA;2;78
Región de Antofagasta;NA;Titular188;Nombre188;Solar;0.288;12;NA;NA;3;78
Región de Antofagasta;NA;Titular189;Nombre189;Solar;4.08;227.46;NA;NA;5;67
Región de Antofagasta;NA;Titular190;Nombre190;Solar;0.324;10.79;NA;NA;2;90
Región de Antofagasta;NA;Titular191;Nombre191;Solar;0.288;11.3;NA;NA;3;61
Región de Antofagasta;NA;Titular192;Nombre192;Solar;11.904;671;NA;NA;2;72
Región de Antofagasta;NA;Titular193;Nombre193;Solar;0.672;9;NA;NA;4;59
Región de Antofagasta;NA;Titular194;Nombre194;Solar;0.288;11.92;NA;NA;5;51
Región de Antofagasta;NA;Titular195;Nombre195;Solar;0.288;12;NA;NA;3;75
Región de Antofagasta;NA;Titular196;Nombre196;Solar;0.288;9;NA;NA;5;69
Región de Antofagasta;NA;Titular197;Nombre197;Solar;0.4752;9;NA;NA;2;89
Región de Antofagasta;NA;Titular198;Nombre198;Solar;0.36;9;NA;NA;5;89
Región de Antofagasta;NA;Titular199;Nombre199;Solar;0.288;12.5;NA;NA;5;86
Región de Antofagasta;NA;Titular200;Nombre200;Solar;5.952;263.45;NA;NA;3;51
Región de Antofagasta;NA;Titular201;Nombre201;Solar;0.2376;10.83;NA;NA;4;61
Región de Antofagasta;NA;Titular202;Nombre202;Solar;0.288;13.9;NA;NA;5;64
Región de Antofagasta;NA;Titular203;Nombre203;Solar;0.36;9;NA;NA;3;86
Región de Antofagasta;NA;Titular204;Nombre204;Solar;0.288;13.33;NA;NA;4;79
Región de Antofagasta;NA;Titular205;Nombre205;Solar;0.288;13.9;NA;NA;5;97
Región de Antofagasta;NA;Titular206;Nombre206;Solar;0.24;15.25;NA;NA;2;83
Región de Antofagasta;NA;Titular207;Nombre207;Solar;0.228;12.5;NA;NA;2;55
Región de Antofagasta;NA;Titular208;Nombre208;Solar;0.324;10.75;NA;NA;3;90
Región de Antofagasta;NA;Titular209;Nombre209;Solar;9.6;404;NA;NA;3;95
Región de Antofagasta;NA;Titular210;Nombre210;Solar;2.64;112.58;NA;NA;2;74
Región de Antofagasta;NA;Titular211;Nombre211;Solar;2.184;120.36;NA;NA;4;94
Región de Antofagasta;NA;Titular212;Nombre212;Solar;10.8;726;NA;NA;2;96
Región de Antofagasta;NA;Titular213;Nombre213;Solar;3.432;200;NA;NA;4;68
Región de Antofagasta;NA;Titular214;Nombre214;Solar;0.2448;9;NA;NA;2;83
Región de Antofagasta;NA;Titular215;Nombre215;Solar;0.324;10.82;NA;NA;2;92
Región de Antofagasta;NA;Titular216;Nombre216;Solar;0.288;10.75;NA;NA;3;64
Región de Antofagasta;NA;Titular217;Nombre217;Solar;0.288;9;NA;NA;2;95
Región de Antofagasta;NA;Titular218;Nombre218;Solar;0.312;14.8;NA;NA;5;59
Región de Antofagasta;NA;Titular219;Nombre219;Solar;0.2376;10.89;NA;NA;3;69
Región de Antofagasta;NA;Titular220;Nombre220;Solar;0.288;13.33;NA;NA;2;71
Región de Antofagasta;NA;Titular221;Nombre221;Solar;1.392;75.41;NA;NA;3;70
Región de Antofagasta;NA;Titular222;Nombre222;Solar;0.324;10.79;NA;NA;4;69
Región de Antofagasta;NA;Titular223;Nombre223;Solar;43.2;690;NA;NA;3;83
Región de Antofagasta;NA;Titular224;Nombre224;Solar;0.288;13.33;NA;NA;5;80
Región de Antofagasta;NA;Titular225;Nombre225;Solar;0.228;12.5;NA;NA;2;90
Región de Antofagasta;NA;Titular226;Nombre226;Solar;17.04;379;NA;NA;4;76
Región de Antofagasta;NA;Titular227;Nombre227;Solar;0.288;11.3;NA;NA;3;85
Región de Antofagasta;NA;Titular228;Nombre228;Solar;0.276;10.725;NA;NA;3;78
Región de Antofagasta;NA;Titular229;Nombre229;Solar;2.64;112.58;NA;NA;3;89
Región de Antofagasta;NA;Titular230;Nombre230;Solar;11.904;671;NA;NA;2;69
Región de Antofagasta;NA;Titular231;Nombre231;Solar;0.288;9;NA;NA;2;100
Región de Antofagasta;NA;Titular232;Nombre232;Solar;0.228;12.5;NA;NA;3;69
Región de Antofagasta;NA;Titular233;Nombre233;Solar;6.72;471.29;NA;NA;5;86
Región de Antofagasta;NA;Titular234;Nombre234;Solar;0.288;12.5;NA;NA;2;55
Región de Antofagasta;NA;Titular235;Nombre235;Solar;10.8;726;NA;NA;2;74
Región de Antofagasta;NA;Titular236;Nombre236;Solar;11.904;671;NA;NA;3;72
Región de Antofagasta;NA;Titular237;Nombre237;Solar;5.712;265;NA;NA;2;56
Región de Antofagasta;NA;Titular238;Nombre238;Solar;4.8;262.68;NA;NA;3;95
Región de Antofagasta;NA;Titular239;Nombre239;Solar;0.288;12.5;NA;NA;5;97
Región de Antofagasta;NA;Titular240;Nombre240;Solar;0.288;12.5;NA;NA;3;99
Región de Antofagasta;NA;Titular241;Nombre241;Solar;0.228;12.5;NA;NA;5;68
Región de Antofagasta;NA;Titular242;Nombre242;Solar;66.9384;1009;NA;NA;2;77
Región de Antofagasta;NA;Titular243;Nombre243;Solar;96;1009;NA;NA;2;54
Región de Antofagasta;NA;Titular244;Nombre244;Solar;0.672;9;NA;NA;4;60
Región de Antofagasta;NA;Titular245;Nombre245;Solar;5.4;251.37;NA;NA;2;61
Región de Antofagasta;NA;Titular246;Nombre246;Solar;1.44;140.049;NA;NA;2;100
Región de Antofagasta;NA;Titular247;Nombre247;Solar;0.288;9;NA;NA;4;86
Región de Antofagasta;NA;Titular248;Nombre248;Solar;0.2448;9;NA;NA;2;73
Región de Antofagasta;NA;Titular249;Nombre249;Solar;5.952;263.45;NA;NA;5;99
Región de Antofagasta;NA;Titular250;Nombre250;Solar;2.16;91.85;NA;NA;5;98
Región de Antofagasta;NA;Titular251;Nombre251;Solar;9.6;404;NA;NA;2;76
Región de Antofagasta;NA;Titular252;Nombre252;Solar;12.78;550;NA;NA;3;100
Región de Antofagasta;NA;Titular253;Nombre253;Solar;0.288;13.9;NA;NA;4;63
Región de Antofagasta;NA;Titular254;Nombre254;Solar;0.2448;9;NA;NA;5;77
Región de Antofagasta;NA;Titular255;Nombre255;Solar;1.392;75.41;NA;NA;3;96
Región de Antofagasta;NA;Titular256;Nombre256;Solar;0.288;9;NA;NA;2;70
Región de Antofagasta;NA;Titular257;Nombre257;Solar;0.2376;10.83;NA;NA;5;67
Región de Antofagasta;NA;Titular258;Nombre258;Solar;0.288;10.016;NA;NA;2;76
Región de Antofagasta;NA;Titular259;Nombre259;Solar;0.24;15.25;NA;NA;3;61
Región de Antofagasta;NA;Titular260;Nombre260;Solar;43.2;690;NA;NA;3;98
Región de Arica y Parinacota;NA;Titular261;Nombre261;Solar;0.288;13.2;NA;NA;5;145
Región de Arica y Parinacota;NA;Titular262;Nombre262;Solar;0.288;13.8;NA;NA;3;140
Región de Arica y Parinacota;NA;Titular263;Nombre263;Solar;0.24;9.644;NA;NA;3;116
Región de Arica y Parinacota;NA;Titular264;Nombre264;Solar;0.288;12.9;NA;NA;5;102
Región de Arica y Parinacota;NA;Titular265;Nombre265;Solar;1.584;16.77;NA;NA;3;102
Región de Arica y Parinacota;NA;Titular266;Nombre266;Solar;0.288;13.8;NA;NA;4;110
Región de Arica y Parinacota;NA;Titular267;Nombre267;Solar;0.2568;10.52;NA;NA;2;136
Región de Arica y Parinacota;NA;Titular268;Nombre268;Solar;0.2568;10.52;NA;NA;5;106
Región de Arica y Parinacota;NA;Titular269;Nombre269;Solar;0.276;10.75;NA;NA;3;139
Región de Arica y Parinacota;NA;Titular270;Nombre270;Solar;0.2568;10.52;NA;NA;4;125
Región de Arica y Parinacota;NA;Titular271;Nombre271;Solar;0.288;10.8;NA;NA;5;106
Región de Arica y Parinacota;NA;Titular272;Nombre272;Solar;1.632;9;NA;NA;3;103
Región de Arica y Parinacota;NA;Titular273;Nombre273;Solar;8.232;198.04;NA;NA;3;132
Región de Arica y Parinacota;NA;Titular274;Nombre274;Solar;0.228;12.5;NA;NA;4;119
Región de Arica y Parinacota;NA;Titular275;Nombre275;Solar;5.04;358.67;NA;NA;3;139
Región de Arica y Parinacota;NA;Titular276;Nombre276;Solar;0.288;13.3;NA;NA;4;136
Región de Arica y Parinacota;NA;Titular277;Nombre277;Solar;0.228;12.5;NA;NA;3;103
Región de Arica y Parinacota;NA;Titular278;Nombre278;Solar;0.228;12.5;NA;NA;5;142
Región de Arica y Parinacota;NA;Titular279;Nombre279;Solar;0.24;9.644;NA;NA;4;141
Región de Arica y Parinacota;NA;Titular280;Nombre280;Solar;0.24;9.644;NA;NA;3;116
Región de Arica y Parinacota;NA;Titular281;Nombre281;Solar;0.288;13.8;NA;NA;3;108
Región de Arica y Parinacota;NA;Titular282;Nombre282;Solar;0.288;13.8;NA;NA;2;114
Región de Arica y Parinacota;NA;Titular283;Nombre283;Solar;1.632;9;NA;NA;5;135
Región de Arica y Parinacota;NA;Titular284;Nombre284;Solar;0.24;12.08;NA;NA;4;120
Región de Arica y Parinacota;NA;Titular285;Nombre285;Solar;5.04;358.7;NA;NA;3;141
Región de Arica y Parinacota;NA;Titular286;Nombre286;Solar;0.2568;10.52;NA;NA;3;119
Región de Arica y Parinacota;NA;Titular287;Nombre287;Solar;1.584;16.77;NA;NA;3;120
Región de Arica y Parinacota;NA;Titular288;Nombre288;Solar;10.8;421.9;NA;NA;4;124
Región de Arica y Parinacota;NA;Titular289;Nombre289;Solar;0.24;6.79;NA;NA;2;122
Región de Arica y Parinacota;NA;Titular290;Nombre290;Solar;8.232;198.04;NA;NA;4;129
Región de Arica y Parinacota;NA;Titular291;Nombre291;Solar;5.04;358.7;NA;NA;4;133
Región de Arica y Parinacota;NA;Titular292;Nombre292;Solar;0.288;13.2;NA;NA;5;107
Región de Arica y Parinacota;NA;Titular293;Nombre293;Solar;5.04;358.7;NA;NA;2;120
Región de Arica y Parinacota;NA;Titular294;Nombre294;Solar;5.04;358.67;NA;NA;5;114
Región de Arica y Parinacota;NA;Titular295;Nombre295;Solar;0.2568;10.52;NA;NA;3;136
Región de Arica y Parinacota;NA;Titular296;Nombre296;Solar;5.04;358.67;NA;NA;5;150
Región de Arica y Parinacota;NA;Titular297;Nombre297;Solar;0.24;6.79;NA;NA;4;145
Región de Arica y Parinacota;NA;Titular298;Nombre298;Solar;0.288;13.2;NA;NA;5;117
Región de Arica y Parinacota;NA;Titular299;Nombre299;Solar;0.2568;10.52;NA;NA;4;102
Región de Arica y Parinacota;NA;Titular300;Nombre300;Solar;8.232;198.04;NA;NA;5;142
Región de Arica y Parinacota;NA;Titular301;Nombre301;Solar;5.04;358.7;NA;NA;2;112
Región de Arica y Parinacota;NA;Titular302;Nombre302;Solar;1.632;9;NA;NA;4;146
Región de Arica y Parinacota;NA;Titular303;Nombre303;Solar;1.584;16.77;NA;NA;4;112
Región de Atacama;NA;Titular304;Nombre304;Eólica;4.3608;173.25;NA;NA;12;156
Región de Atacama;NA;Titular305;Nombre305;Eólica;3.0816;180;NA;NA;14;168
Región de Atacama;NA;Titular306;Nombre306;Eólica;4.3608;173.25;NA;NA;8;158
Región de Atacama;NA;Titular307;Nombre307;Eólica;4.8;64.8;NA;NA;15;180
Región de Atacama;NA;Titular308;Nombre308;Eólica;4.3608;173.25;NA;NA;15;165
Región de Atacama;NA;Titular309;Nombre309;Eólica;4.8;64.8;NA;NA;15;193
Región de Atacama;NA;Titular310;Nombre310;Eólica;3.0816;180;NA;NA;12;196
Región de Atacama;NA;Titular311;Nombre311;Solar;4.08;229;NA;NA;2;156
Región de Atacama;NA;Titular312;Nombre312;Solar;0.264;10.89;NA;NA;3;160
Región de Atacama;NA;Titular313;Nombre313;Solar;0.264;12.5;NA;NA;4;195
Región de Atacama;NA;Titular314;Nombre314;Solar;8.928;458;NA;NA;2;159
Región de Atacama;NA;Titular315;Nombre315;Solar;8.04;217.6;NA;NA;5;189
